,Parameter Name,Latitude,Longitude,LU,Arithmetic Mean
12,PM2.5 - Local Conditions,39.937098999999996,-120.93882099999999,"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Cropland and pasture': 0.15, 'Evergreen forest land': 0.21}",0.008726705000000001
40,PM2.5 - Local Conditions,39.813359999999996,-120.47068999999999,"{'Commercial and Services': 0.08333333333333333, 'Residential': 0.375, 'Other urban or built-up land': 0.020833333333333332, 'Evergreen forest land': 0.5208333333333334}",0.013627193000000001
44,PM2.5 - Local Conditions,39.813359999999996,-120.47068999999999,"{'Commercial and Services': 0.08333333333333333, 'Residential': 0.375, 'Other urban or built-up land': 0.020833333333333332, 'Evergreen forest land': 0.5208333333333334}",0.012493547999999998
212,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.012606145
213,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.012497199
214,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.012606145
224,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.012541667000000001
225,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.012541667000000001
226,PM2.5 - Local Conditions,33.99958,-117.41601000000001,{'Residential': 1.0},0.011879661000000001
4,PM2.5 - Local Conditions,33.447866999999995,-117.088649,"{'Shrub-brushland rangeland': 0.11, 'Cropland and pasture': 0.21, 'Mixed rangeland': 0.68}",0.007037209
9,PM2.5 - Local Conditions,33.944713,-116.830074,"{'Residential': 0.05, 'Cropland and pasture': 0.41, 'Mixed rangeland': 0.54}",0.006255932
31,PM2.5 - Local Conditions,33.708529999999996,-116.21537,"{'Commercial and Services': 0.08, 'Residential': 0.16, 'Cropland and pasture': 0.32, 'Orchards, groves, vineyards, nurseries..': 0.3, 'Transitional areas': 0.14}",0.0077
