Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[  40.71528 -124.20139],0.007306838,0.09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.73,0,0,0,0.17,0,0.0
PM2.5 - Local Conditions,[  32.676186 -115.484144],0.0077,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0
PM2.5 - Local Conditions,[  32.97833 -115.53917],0.009604286,0.0,0.0,0.04,0.0,0,0,0,0.0,0.0,0.37,0.0,0,0,0.0,0,0,0,0.59,0,0.0
PM2.5 - Local Conditions,[  32.79222 -115.56306],0.010330056,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.479674796748,0.0,0,0,0.0,0,0,0,0.520325203252,0,0.0
PM2.5 - Local Conditions,[  36.487823 -117.871036],0.009400287,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.26
PM2.5 - Local Conditions,[  36.10218  -119.566954],0.005548214,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.142222222222,0.0,0,0,0.444444444444,0,0,0,0.413333333333,0,0.0
PM2.5 - Local Conditions,[  39.0327  -122.92229],0.011980398,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0.15
PM2.5 - Local Conditions,[  33.901389 -118.205   ],0.011028696,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - Local Conditions,[  33.82376 -118.18921],0.006255932,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.03,0,0,0.0,0,0,0,0.51,0,0.34
PM2.5 - Local Conditions,[  33.79236 -118.17533],0.0139981485,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0
PM2.5 - Local Conditions,[  33.859444 -118.200278],0.012445414,0.0,0.0,0.0,0.0,0,0,0,0.0,0.26,0.0,0.0,0,0,0.18,0,0,0,0.18,0,0.38
PM2.5 - Local Conditions,[  34.06659 -118.22688],0.011680833,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0310880829016,0.518134715026,0,0,0.0,0,0,0,0.0,0,0.450777202073
PM2.5 - Local Conditions,[  34.19925 -118.53276],0.014782774,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.324324324324,0.0,0,0,0.0,0,0,0,0.675675675676,0,0.0
PM2.5 - Local Conditions,[  34.01194 -118.06995],0.011904238,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.03,0.0,0,0,0.0,0,0,0,0.81,0,0.0
PM2.5 - Local Conditions,[  34.1326 -118.1272],0.01218999575,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.21,0.0,0,0,0.0,0,0,0,0.79,0,0.0
