Parameter Name,Site_keys,LU,ppm
Suspended particulate (TSP),[ 41.031486 -73.59707 ],"{'Residential': 0.53, 'Streams and canals': 0.35, 'Other urban or built-up land': 0.12}",55.706897
Suspended particulate (TSP),[ 41.399167 -73.443056],"{'Commercial and Services': 0.46, 'Residential': 0.46, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.07}",40.166667
Suspended particulate (TSP),[ 41.079541 -73.704852],"{'Deciduous forest land': 0.5423728813559322, 'Other urban or built-up land': 0.11864406779661017, 'Cropland and pasture': 0.1864406779661017, 'Residential': 0.025423728813559324, 'Transportation, communications and services': 0.1271186440677966}",59.358973999999996
Suspended particulate (TSP),[ 41.042875 -73.529011],"{'Commercial and Services': 0.19, 'Residential': 0.14, 'Streams and canals': 0.12, 'Industrial': 0.34, 'Other urban or built-up land': 0.21}",51.827586
Suspended particulate (TSP),[ 41.059541 -73.537067],"{'Commercial and Services': 0.69, 'Residential': 0.31}",70.475
Suspended particulate (TSP),[ 41.1125   -73.407222],"{'Industrial': 0.02, 'Mixed urban or built-up land': 0.32, 'Commercial and Services': 0.09, 'Residential': 0.28, 'Streams and canals': 0.22, 'Transportation, communications and services': 0.07}",54.706897
Suspended particulate (TSP),[ 41.197875 -73.132054],"{'Commercial and Services': 0.55, 'Residential': 0.39, 'Transportation, communications and services': 0.06}",48.474576
Suspended particulate (TSP),[ 41.586765 -72.799821],"{'Residential': 0.42, 'Deciduous forest land': 0.15, 'Cropland and pasture': 0.43}",67.181034
Suspended particulate (TSP),[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}",60.442308
Suspended particulate (TSP),[ 41.673431 -72.947881],"{'Commercial and Services': 0.58, 'Residential': 0.42}",37.649122999999996
Suspended particulate (TSP),[ 41.761211 -72.678426],"{'Commercial and Services': 0.9, 'Residential': 0.07, 'Other urban or built-up land': 0.03}",57.798077
Suspended particulate (TSP),[ 41.764265 -72.93788 ],"{'Other agricultural land': 0.1076923076923077, 'Deciduous forest land': 0.7692307692307693, 'Residential': 0.12307692307692308}",54.91379300000001
Suspended particulate (TSP),[ 41.761489 -72.674259],"{'Commercial and Services': 0.84, 'Industrial': 0.12, 'Other urban or built-up land': 0.04}",51.127272999999995
Suspended particulate (TSP),[ 41.667599 -72.788986],"{'Residential': 0.5307692307692308, 'Industrial': 0.23846153846153847, 'Other urban or built-up land': 0.23076923076923078}",34.783333
Suspended particulate (TSP),[ 41.775932 -72.522864],{'Residential': 1.0},49.127272999999995
Suspended particulate (TSP),[ 41.800375 -73.116499],"{'Commercial and Services': 0.77, 'Residential': 0.22, 'Transportation, communications and services': 0.01}",54.474576
Suspended particulate (TSP),[ 41.672875 -73.142612],"{'Deciduous forest land': 0.8771929824561403, 'Reservoirs': 0.12280701754385964}",47.966667
Suspended particulate (TSP),[ 41.477043 -72.512866],"{'Residential': 0.23333333333333334, 'Deciduous forest land': 0.5916666666666667, 'Orchards, groves, vineyards, nurseries..': 0.16666666666666666, 'Cropland and pasture': 0.008333333333333333}",56.13559300000001
Suspended particulate (TSP),[ 41.560932 -72.647594],"{'Commercial and Services': 0.25555555555555554, 'Residential': 0.2222222222222222, 'Streams and canals': 0.03333333333333333, 'Transportation, communications and services': 0.4888888888888889}",64.193277
Suspended particulate (TSP),[ 41.551487 -72.790932],"{'Commercial and Services': 0.51, 'Residential': 0.36, 'Mixed urban or built-up land': 0.13}",62.754386
Suspended particulate (TSP),[ 41.310833 -72.916944],"{'Mixed urban or built-up land': 0.5904761904761905, 'Industrial': 0.047619047619047616, 'Transportation, communications and services': 0.24761904761904763, 'Residential': 0.11428571428571428}",50.338983
Suspended particulate (TSP),[ 41.53732  -72.794543],"{'Commercial and Services': 0.42, 'Residential': 0.47, 'Industrial': 0.11}",33.428571000000005
Suspended particulate (TSP),[ 41.318986 -72.892046],"{'Commercial and Services': 0.10734463276836158, 'Residential': 0.3050847457627119, 'Streams and canals': 0.022598870056497175, 'Industrial': 0.05084745762711865, 'Transportation, communications and services': 0.5141242937853108}",29.168066999999997
Suspended particulate (TSP),[ 41.454264 -72.817322],"{'Commercial and Services': 0.16666666666666666, 'Residential': 0.8235294117647058, 'Other urban or built-up land': 0.00980392156862745}",45.900901
Suspended particulate (TSP),[ 41.340375 -73.078997],"{'Commercial and Services': 0.2, 'Residential': 0.01, 'Industrial': 0.79}",32.558559
Suspended particulate (TSP),[ 41.522597 -73.041774],"{'Commercial and Services': 0.03, 'Industrial': 0.43, 'Deciduous forest land': 0.46, 'Transportation, communications and services': 0.08}",45.105263
Suspended particulate (TSP),[ 41.550556 -73.043611],"{'Commercial and Services': 0.31, 'Residential': 0.06, 'Industrial': 0.42, 'Other urban or built-up land': 0.1, 'Transportation, communications and services': 0.11}",46.366667
Suspended particulate (TSP),[ 41.490375 -73.055108],"{'Commercial and Services': 0.45, 'Residential': 0.42, 'Transportation, communications and services': 0.13}",59.649122999999996
Suspended particulate (TSP),[ 41.202875 -73.102053],"{'Commercial and Services': 0.33, 'Residential': 0.65, 'Streams and canals': 0.02}",58.322314
Suspended particulate (TSP),[ 41.58871  -71.855905],"{'Forested wetland': 0.18592964824120603, 'Deciduous forest land': 0.5025125628140703, 'Evergreen forest land': 0.2914572864321608, 'Mixed forest land': 0.020100502512562814}",28.623932
Suspended particulate (TSP),[ 41.320654 -72.138132],"{'Other urban or built-up land': 0.64, 'Residential': 0.28, 'Deciduous forest land': 0.08}",41.566666999999995
Suspended particulate (TSP),[ 41.523154 -72.075355],"{'Commercial and Services': 0.34, 'Mixed urban or built-up land': 0.05, 'Streams and canals': 0.31, 'Deciduous forest land': 0.06, 'Residential': 0.24}",55.470588
Suspended particulate (TSP),[ 41.713432 -72.21119 ],"{'Commercial and Services': 0.225, 'Residential': 0.175, 'Industrial and commercial complexes': 0.1, 'Deciduous forest land': 0.5}",40.508475
Suspended particulate (TSP),[ 39.154722 -75.529444],"{'Commercial and Services': 0.07, 'Residential': 0.51, 'Cropland and pasture': 0.42}",59.915254000000004
Suspended particulate (TSP),[ 39.670945 -75.746879],"{'Commercial and Services': 0.3, 'Residential': 0.16, 'Cropland and pasture': 0.54}",59.95081999999999
Suspended particulate (TSP),[ 39.233444 -75.736043],"{'Deciduous forest land': 0.69, 'Cropland and pasture': 0.31}",64.489796
Suspended particulate (TSP),[ 39.574834 -75.618261],"{'Cropland and pasture': 0.66, 'Nonforested wetland': 0.34}",52.61016899999999
Suspended particulate (TSP),[ 39.70789  -75.685764],"{'Commercial and Services': 0.26732673267326734, 'Residential': 0.6237623762376238, 'Other urban or built-up land': 0.009900990099009901, 'Cropland and pasture': 0.09900990099009901}",62.590164
Suspended particulate (TSP),[ 39.761111 -75.491944],"{'Commercial and Services': 0.24, 'Residential': 0.3, 'Bays and estuaries': 0.04, 'Nonforested wetland': 0.15, 'Transitional areas': 0.27}",67.766667
Suspended particulate (TSP),[ 39.761502 -75.578814],"{'Commercial and Services': 0.2, 'Residential': 0.2, 'Other urban or built-up land': 0.6}",51.266667
Suspended particulate (TSP),[ 39.631223 -75.613538],"{'Commercial and Services': 0.11, 'Cropland and pasture': 0.69, 'Nonforested wetland': 0.14, 'Evergreen forest land': 0.06}",74.189655
Suspended particulate (TSP),[ 39.812335 -75.455196],"{'Commercial and Services': 0.16, 'Residential': 0.27, 'Industrial': 0.15, 'Transportation, communications and services': 0.41, 'Transitional areas': 0.01}",58.147059
Suspended particulate (TSP),[ 38.651225 -75.612705],"{'Commercial and Services': 0.4, 'Residential': 0.53, 'Cropland and pasture': 0.07}",74.065574
Suspended particulate (TSP),[ 29.658023 -82.410107],"{'Commercial and Services': 0.49504950495049505, 'Residential': 0.19801980198019803, 'Evergreen forest land': 0.3069306930693069}",44.636364
Suspended particulate (TSP),[ 29.658023 -82.330383],"{'Commercial and Services': 0.5038167938931297, 'Residential': 0.48854961832061067, 'Other urban or built-up land': 0.007633587786259542}",26.692308
Suspended particulate (TSP),[ 30.155202 -85.614927],"{'Commercial and Services': 0.4, 'Residential': 0.6}",27.954545
Suspended particulate (TSP),[ 30.207145 -85.684373],"{'Residential': 0.26, 'Other urban or built-up land': 0.09, 'Transportation, communications and services': 0.65}",55.055556
Suspended particulate (TSP),[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}",63.932203
Suspended particulate (TSP),[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}",48.666667
Suspended particulate (TSP),[ 28.46889  -80.797555],{'Transitional areas': 1.0},87.70175400000002
Suspended particulate (TSP),[ 28.473057 -80.717831],"{'Bays and estuaries': 0.19, 'Forested wetland': 0.08, 'Orchards, groves, vineyards, nurseries..': 0.57, 'Herbaceous Rangeland': 0.16}",41.176471
Suspended particulate (TSP),[ 28.481946 -80.773943],"{'Residential': 0.58, 'Bays and estuaries': 0.12, 'Transportation, communications and services': 0.3}",61.7
Suspended particulate (TSP),[ 28.622774 -80.839221],"{'Residential': 0.34, 'Forested wetland': 0.04, 'Transportation, communications and services': 0.62}",67.17857099999999
Suspended particulate (TSP),[ 25.988147 -80.17838 ],"{'Commercial and Services': 0.01, 'Residential': 0.49, 'Transitional areas': 0.5}",67.537037
Suspended particulate (TSP),[ 26.059811 -80.20727 ],"{'Residential': 0.69, 'Cropland and pasture': 0.13, 'Evergreen forest land': 0.03, 'Strip mines, quarries and gravel pits': 0.15}",57.018181999999996
Suspended particulate (TSP),[ 26.073144 -80.16949 ],"{'Commercial and Services': 0.04, 'Residential': 0.66, 'Other urban or built-up land': 0.11, 'Transportation, communications and services': 0.19}",34.016949
Suspended particulate (TSP),[ 26.099809 -80.108655],"{'Commercial and Services': 0.05, 'Residential': 0.82, 'Null area -- no land use assigned': 0.13}",47.5
Suspended particulate (TSP),[ 26.083143 -80.237586],"{'Commercial and Services': 0.99, 'Cropland and pasture': 0.01}",57.78181800000001
Suspended particulate (TSP),[ 26.129531 -80.168379],"{'Commercial and Services': 0.037383177570093455, 'Residential': 0.9345794392523364, 'Other urban or built-up land': 0.028037383177570093}",49.403509
Suspended particulate (TSP),[ 26.103421 -80.148101],"{'Commercial and Services': 0.1, 'Residential': 0.9}",40.960784000000004
Suspended particulate (TSP),[ 26.200361 -80.254771],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.16964285714285715, 'Other urban or built-up land': 0.10714285714285714, 'Transitional areas': 0.6339285714285714}",53.12389399999999
Suspended particulate (TSP),[ 26.292025 -80.09647 ],"{'Commercial and Services': 0.52, 'Residential': 0.48}",47.669810999999996
Suspended particulate (TSP),[ 26.010924 -80.17838 ],"{'Commercial and Services': 0.19, 'Residential': 0.49, 'Other urban or built-up land': 0.19, 'Evergreen forest land': 0.13}",42.327273
Suspended particulate (TSP),[ 26.172029 -80.203658],"{'Commercial and Services': 0.07, 'Residential': 0.83, 'Other urban or built-up land': 0.1}",41.224138
Suspended particulate (TSP),[ 26.024257 -80.299216],"{'Transitional areas': 0.06, 'Cropland and pasture': 0.63, 'Herbaceous Rangeland': 0.19, 'Mixed rangeland': 0.12}",45.146341
Suspended particulate (TSP),[ 26.140642 -80.244215],"{'Commercial and Services': 0.09615384615384616, 'Residential': 0.9038461538461539}",35.166667
Suspended particulate (TSP),[ 26.243692 -80.120045],"{'Residential': 0.68, 'Transportation, communications and services': 0.09, 'Evergreen forest land': 0.23}",68.472727
Suspended particulate (TSP),[ 26.290636 -80.096433],"{'Commercial and Services': 0.55, 'Residential': 0.45}",39.93333300000001
Suspended particulate (TSP),[ 26.918395 -82.002866],"{'Shrub-brushland rangeland': 0.023529411764705882, 'Cropland and pasture': 0.2823529411764706, 'Transportation, communications and services': 0.15294117647058825, 'Evergreen forest land': 0.5411764705882353}",41.453704
Suspended particulate (TSP),[ 28.948866 -82.623714],"{'Cropland and pasture': 0.08, 'Evergreen forest land': 0.92}",38.966667
Suspended particulate (TSP),[ 28.980556 -82.644381],"{'Cropland and pasture': 0.71, 'Evergreen forest land': 0.16, 'Transitional areas': 0.13}",47.642857
Suspended particulate (TSP),[ 26.128425 -81.766754],"{'Commercial and Services': 0.15, 'Residential': 0.35, 'Cropland and pasture': 0.01, 'Transportation, communications and services': 0.19, 'Transitional areas': 0.3}",40.888889
Suspended particulate (TSP),[ 30.323562 -81.641507],"{'Commercial and Services': 0.22, 'Residential': 0.17, 'Streams and canals': 0.1, 'Industrial': 0.06, 'Transportation, communications and services': 0.45}",46.47368400000001
Suspended particulate (TSP),[ 30.309674 -81.652897],"{'Commercial and Services': 0.41, 'Residential': 0.54, 'Transportation, communications and services': 0.05}",48.196428999999995
Suspended particulate (TSP),[ 30.348017 -81.610649],"{'Commercial and Services': 0.27, 'Residential': 0.13, 'Streams and canals': 0.6}",37.375
Suspended particulate (TSP),[ 30.344118 -81.661508],"{'Commercial and Services': 0.21, 'Residential': 0.61, 'Other urban or built-up land': 0.18}",42.741378999999995
Suspended particulate (TSP),[ 30.35245  -81.628173],"{'Residential': 0.38, 'Industrial': 0.12, 'Other urban or built-up land': 0.03, 'Transportation, communications and services': 0.47}",47.814815
Suspended particulate (TSP),[ 30.345228 -81.517059],"{'Residential': 0.01, 'Transportation, communications and services': 0.56, 'Evergreen forest land': 0.43}",41.32
Suspended particulate (TSP),[ 30.37245  -81.634562],"{'Residential': 0.1, 'Streams and canals': 0.18, 'Industrial': 0.46, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.25}",58.918032999999994
Suspended particulate (TSP),[ 30.477725 -81.587339],"{'Commercial and Services': 0.09, 'Residential': 0.6, 'Evergreen forest land': 0.31}",34.15
Suspended particulate (TSP),[ 30.375795 -81.585648],"{'Residential': 0.78, 'Streams and canals': 0.21, 'Evergreen forest land': 0.01}",43.915254
Suspended particulate (TSP),[ 30.422448 -81.620951],"{'Transitional areas': 0.3533834586466165, 'Evergreen forest land': 0.5488721804511278, 'Transportation, communications and services': 0.09774436090225563}",60.717391000000006
Suspended particulate (TSP),[ 30.619915 -87.317197],"{'Residential': 0.12, 'Evergreen forest land': 0.88}",37.446428999999995
Suspended particulate (TSP),[ 30.525367 -87.20355 ],"{'Commercial and Services': 0.65, 'Residential': 0.03, 'Other urban or built-up land': 0.24, 'Mixed urban or built-up land': 0.08}",51.241378999999995
Suspended particulate (TSP),[ 30.408531 -87.219971],"{'Commercial and Services': 0.32, 'Residential': 0.44, 'Bays and estuaries': 0.05, 'Transportation, communications and services': 0.19}",44.824073999999996
Suspended particulate (TSP),[ 30.550195 -87.26664 ],"{'Commercial and Services': 0.27, 'Residential': 0.13, 'Cropland and pasture': 0.49, 'Evergreen forest land': 0.11}",53.314815
Suspended particulate (TSP),[ 30.549084 -87.218582],"{'Commercial and Services': 0.89, 'Evergreen forest land': 0.11}",41.52459
Suspended particulate (TSP),[ 26.828673 -81.094234],"{'Residential': 0.3630573248407643, 'Cropland and pasture': 0.6369426751592356}",45.166667
Suspended particulate (TSP),[ 29.826598 -85.301585],"{'Industrial': 0.12, 'Reservoirs': 0.01, 'Mixed forest land': 0.07, 'Commercial and Services': 0.01, 'Residential': 0.06, 'Other urban or built-up land': 0.67, 'Transportation, communications and services': 0.06}",35.37837800000001
Suspended particulate (TSP),[ 30.437721 -82.796796],"{'Strip mines, quarries and gravel pits': 0.09022556390977443, 'Forested wetland': 0.15789473684210525, 'Evergreen forest land': 0.7518796992481203}",29.236364000000002
Suspended particulate (TSP),[ 30.328004 -82.734849],"{'Cropland and pasture': 0.047619047619047616, 'Evergreen forest land': 0.9523809523809523}",32.086207
Suspended particulate (TSP),[ 26.753953 -80.938676],"{'Commercial and Services': 0.43, 'Residential': 0.47, 'Cropland and pasture': 0.1}",28.0
Suspended particulate (TSP),[ 27.182271 -81.352573],"{'Commercial and Services': 0.29, 'Herbaceous Rangeland': 0.71}",29.23913
Suspended particulate (TSP),[ 27.507536 -81.441463],"{'Residential': 0.81, 'Lakes': 0.03, 'Orchards, groves, vineyards, nurseries..': 0.16}",56.982456000000006
Suspended particulate (TSP),[ 27.943634 -82.276202],"{'Commercial and Services': 0.13, 'Residential': 0.61, 'Orchards, groves, vineyards, nurseries..': 0.26}",30.965517
Suspended particulate (TSP),[ 27.719475 -82.432594],"{'Residential': 0.74, 'Forested wetland': 0.09, 'Cropland and pasture': 0.1, 'Other agricultural land': 0.07}",41.285714
Suspended particulate (TSP),[ 27.720864 -82.342036],"{'Residential': 0.20634920634920634, 'Other urban or built-up land': 0.46825396825396826, 'Herbaceous Rangeland': 0.05555555555555555, 'Cropland and pasture': 0.2698412698412698}",72.355932
Suspended particulate (TSP),[ 27.932244 -82.50954 ],"{'Commercial and Services': 0.3103448275862069, 'Residential': 0.6896551724137931}",57.754386
Suspended particulate (TSP),[ 27.920578 -82.446206],"{'Residential': 0.1437908496732026, 'Bays and estuaries': 0.5490196078431373, 'Transportation, communications and services': 0.20261437908496732, 'Industrial': 0.10457516339869281}",58.103448
Suspended particulate (TSP),[ 27.88669  -82.481206],"{'Commercial and Services': 0.05, 'Residential': 0.53, 'Bays and estuaries': 0.42}",46.189655
Suspended particulate (TSP),[ 27.894469 -82.400927],"{'Other agricultural land': 0.28, 'Forested wetland': 0.53, 'Herbaceous Rangeland': 0.19}",53.244898
Suspended particulate (TSP),[ 27.955856 -82.371482],"{'Streams and canals': 0.17, 'Industrial and commercial complexes': 0.46, 'Cropland and pasture': 0.11, 'Transportation, communications and services': 0.2, 'Transitional areas': 0.06}",54.40625
Suspended particulate (TSP),[ 27.864192 -82.384259],"{'Residential': 0.03, 'Streams and canals': 0.2, 'Industrial': 0.42, 'Herbaceous Rangeland': 0.35}",45.1875
Suspended particulate (TSP),[ 27.762806 -82.400927],"{'Residential': 0.37, 'Industrial': 0.1, 'Cropland and pasture': 0.52, 'Evergreen forest land': 0.01}",63.0
Suspended particulate (TSP),[ 27.792805 -82.368148],"{'Commercial and Services': 0.16, 'Cropland and pasture': 0.63, 'Evergreen forest land': 0.21}",67.105263
Suspended particulate (TSP),[ 27.947799 -82.457039],{'Commercial and Services': 1.0},39.25
Suspended particulate (TSP),[ 27.945856 -82.436205],"{'Residential': 0.52, 'Bays and estuaries': 0.04, 'Industrial': 0.44}",35.568965999999996
Suspended particulate (TSP),[ 27.928356 -82.454539],"{'Commercial and Services': 0.08854166666666667, 'Residential': 0.390625, 'Bays and estuaries': 0.5208333333333334}",44.241378999999995
Suspended particulate (TSP),[ 27.952244 -82.403427],"{'Industrial and commercial complexes': 0.41, 'Transitional areas': 0.59}",37.118644
Suspended particulate (TSP),[ 28.019188 -82.121753],"{'Commercial and Services': 0.59, 'Residential': 0.41}",35.28360650000001
Suspended particulate (TSP),[ 28.044185 -82.389537],{'Residential': 1.0},44.698113
Suspended particulate (TSP),[ 27.608644 -80.228658],{'Null area -- no land use assigned': 1.0},53.228570999999995
Suspended particulate (TSP),[ 27.646977 -80.402274],"{'Commercial and Services': 0.38, 'Residential': 0.49, 'Transportation, communications and services': 0.13}",42.90566
Suspended particulate (TSP),[ 27.639477 -80.395607],"{'Commercial and Services': 0.6, 'Residential': 0.4}",42.034483
Suspended particulate (TSP),[ 26.651461 -81.866475],"{'Residential': 0.11, 'Bays and estuaries': 0.89}",52.529412
Suspended particulate (TSP),[ 30.437144 -84.26351 ],"{'Commercial and Services': 0.38, 'Residential': 0.25, 'Evergreen forest land': 0.37}",43.810345
Suspended particulate (TSP),[ 30.436867 -84.293789],"{'Commercial and Services': 0.6122448979591837, 'Residential': 0.3877551020408163}",49.58658033333333
Suspended particulate (TSP),[ 27.493095 -82.619542],"{'Residential': 0.53, 'Cropland and pasture': 0.29, 'Herbaceous Rangeland': 0.18}",42.948276
Suspended particulate (TSP),[ 27.575592 -82.423149],"{'Residential': 0.10377358490566038, 'Forested wetland': 0.27358490566037735, 'Cropland and pasture': 0.1509433962264151, 'Orchards, groves, vineyards, nurseries..': 0.4716981132075472}",62.288462
Suspended particulate (TSP),[ 27.580592 -82.362593],"{'Cropland and pasture': 0.83, 'Herbaceous Rangeland': 0.03, 'Evergreen forest land': 0.14}",58.553571
Suspended particulate (TSP),[ 27.62309  -82.539263],"{'Industrial': 0.08, 'Cropland and pasture': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.53}",48.5
Suspended particulate (TSP),[ 27.600869 -82.50954 ],"{'Cropland and pasture': 0.49, 'Orchards, groves, vineyards, nurseries..': 0.5, 'Evergreen forest land': 0.01}",59.942308
Suspended particulate (TSP),[ 27.641978 -82.557319],"{'Residential': 0.05, 'Forested wetland': 0.02, 'Bays and estuaries': 0.37, 'Orchards, groves, vineyards, nurseries..': 0.14, 'Industrial': 0.42}",58.782608999999994
Suspended particulate (TSP),[ 27.496984 -82.360371],"{'Forested wetland': 0.65, 'Cropland and pasture': 0.03, 'Herbaceous Rangeland': 0.32}",63.25
Suspended particulate (TSP),[ 27.645033 -82.524262],"{'Cropland and pasture': 0.91, 'Herbaceous Rangeland': 0.09}",45.37931
Suspended particulate (TSP),[ 27.086162 -80.661723],"{'Residential': 0.02, 'Cropland and pasture': 0.27, 'Lakes': 0.41, 'Nonforested wetland': 0.3}",65.30645200000001
Suspended particulate (TSP),[ 27.043942 -80.481442],"{'Residential': 0.16, 'Cropland and pasture': 0.43, 'Herbaceous Rangeland': 0.41}",56.27451
Suspended particulate (TSP),[ 27.189493 -80.236992],"{'Commercial and Services': 0.2248062015503876, 'Residential': 0.7054263565891473, 'Transportation, communications and services': 0.007751937984496124, 'Mixed urban or built-up land': 0.06201550387596899}",57.85
Suspended particulate (TSP),[ 25.447612 -80.444779],"{'Cropland and pasture': 0.82, 'Evergreen forest land': 0.18}",52.964912
Suspended particulate (TSP),[ 25.447611 -80.368666],"{'Forested wetland': 0.4708994708994709, 'Evergreen forest land': 0.5291005291005291}",68.45283
Suspended particulate (TSP),[ 25.899539 -80.38259 ],"{'Commercial and Services': 0.0196078431372549, 'Cropland and pasture': 0.6862745098039216, 'Transportation, communications and services': 0.27450980392156865, 'Herbaceous Rangeland': 0.0196078431372549}",60.263158
Suspended particulate (TSP),[ 25.808709 -80.301995],"{'Commercial and Services': 0.0759493670886076, 'Residential': 0.2911392405063291, 'Transportation, communications and services': 0.6329113924050633}",58.61016899999999
Suspended particulate (TSP),[ 25.924539 -80.448388],"{'Commercial and Services': 0.12280701754385964, 'Herbaceous Rangeland': 0.7982456140350878, 'Nonforested wetland': 0.07894736842105263}",62.428571
Suspended particulate (TSP),[ 25.709823 -80.29394 ],"{'Commercial and Services': 0.11055276381909548, 'Residential': 0.3869346733668342, 'Transportation, communications and services': 0.5025125628140703}",67.442308
Suspended particulate (TSP),[ 25.794222 -80.215556],"{'Commercial and Services': 0.46411483253588515, 'Residential': 0.014354066985645933, 'Industrial': 0.009569377990430622, 'Transportation, communications and services': 0.5119617224880383}",71.683544
Suspended particulate (TSP),[ 25.833986 -80.241993],"{'Commercial and Services': 0.055, 'Residential': 0.445, 'Transportation, communications and services': 0.5}",77.83382399999998
Suspended particulate (TSP),[ 25.79732  -80.132268],"{'Commercial and Services': 0.9, 'Residential': 0.07, 'Transportation, communications and services': 0.03}",55.653061
Suspended particulate (TSP),[ 25.865652 -80.278383],"{'Commercial and Services': 0.06103286384976526, 'Residential': 0.4694835680751174, 'Transportation, communications and services': 0.4694835680751174}",44.466667
Suspended particulate (TSP),[ 25.629826 -80.342275],"{'Deciduous forest land': 0.05, 'Commercial and Services': 0.13, 'Residential': 0.17, 'Other urban or built-up land': 0.36, 'Cropland and pasture': 0.04, 'Transportation, communications and services': 0.25}",83.126761
Suspended particulate (TSP),[ 25.471944 -80.482778],{'Residential': 1.0},47.589286
Suspended particulate (TSP),[ 25.932593 -80.162824],"{'Commercial and Services': 0.09, 'Residential': 0.91}",80.508772
Suspended particulate (TSP),[ 24.558758 -81.802592],"{'Commercial and Services': 0.76, 'Residential': 0.24}",91.934783
Suspended particulate (TSP),[ 30.673293 -81.454536],"{'Residential': 0.7129629629629629, 'Other urban or built-up land': 0.1574074074074074, 'Mixed urban or built-up land': 0.12962962962962962}",77.288288
Suspended particulate (TSP),[ 30.670515 -81.465925],"{'Residential': 0.18, 'Streams and canals': 0.27, 'Industrial': 0.16, 'Transportation, communications and services': 0.22, 'Mixed urban or built-up land': 0.17}",57.8
Suspended particulate (TSP),[ 30.658552 -81.463168],"{'Commercial and Services': 0.28, 'Residential': 0.55, 'Nonforested wetland': 0.12, 'Evergreen forest land': 0.03, 'Mixed urban or built-up land': 0.02}",49.491525
Suspended particulate (TSP),[ 30.686626 -81.447314],"{'Residential': 0.22, 'Other urban or built-up land': 0.1, 'Nonforested wetland': 0.68}",44.203703999999995
Suspended particulate (TSP),[ 27.286712 -80.825894],"{'Forested wetland': 0.34, 'Cropland and pasture': 0.66}",45.902439
Suspended particulate (TSP),[ 28.910822 -81.303675],"{'Residential': 0.2714285714285714, 'Evergreen forest land': 0.7142857142857143, 'Transitional areas': 0.014285714285714285}",41.090909
Suspended particulate (TSP),[ 28.560557 -81.456738],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.9803921568627451}",51.041667
Suspended particulate (TSP),[ 28.735828 -81.60174 ],"{'Residential': 0.38, 'Orchards, groves, vineyards, nurseries..': 0.31, 'Lakes': 0.31}",78.929825
Suspended particulate (TSP),[ 28.541669 -81.389236],"{'Commercial and Services': 0.33, 'Residential': 0.62, 'Transportation, communications and services': 0.05}",39.704918
Suspended particulate (TSP),[ 28.551112 -81.345347],"{'Commercial and Services': 0.19, 'Residential': 0.13, 'Transportation, communications and services': 0.68}",30.878788
Suspended particulate (TSP),[ 26.685344 -80.669224],"{'Commercial and Services': 0.185, 'Residential': 0.255, 'Cropland and pasture': 0.5, 'Mixed urban or built-up land': 0.06}",31.972222
Suspended particulate (TSP),[ 26.765063 -80.113376],"{'Mixed rangeland': 0.29, 'Residential': 0.36, 'Other urban or built-up land': 0.24, 'Cropland and pasture': 0.08, 'Transitional areas': 0.03}",37.461538
Suspended particulate (TSP),[ 26.702842 -80.383384],"{'Cropland and pasture': 0.85, 'Nonforested wetland': 0.05, 'Transitional areas': 0.1}",30.789474
Suspended particulate (TSP),[ 26.360911 -80.084487],"{'Commercial and Services': 0.62, 'Residential': 0.26, 'Industrial': 0.1, 'Other urban or built-up land': 0.02}",57.660377000000004
Suspended particulate (TSP),[ 26.384521 -80.12421 ],"{'Commercial and Services': 0.31, 'Forested wetland': 0.03, 'Other urban or built-up land': 0.12, 'Mixed rangeland': 0.54}",54.542373
Suspended particulate (TSP),[ 26.466462 -80.074765],"{'Commercial and Services': 0.46, 'Residential': 0.54}",42.64705900000001
Suspended particulate (TSP),[ 26.611179 -80.06782 ],"{'Commercial and Services': 0.28, 'Residential': 0.7, 'Lakes': 0.02}",38.017241
Suspended particulate (TSP),[ 26.808673 -80.06782 ],"{'Commercial and Services': 0.31, 'Residential': 0.69}",33.1875
Suspended particulate (TSP),[ 26.763674 -80.062542],"{'Commercial and Services': 0.033783783783783786, 'Residential': 0.6418918918918919, 'Other urban or built-up land': 0.32432432432432434}",44.025
Suspended particulate (TSP),[ 26.711454 -80.060042],"{'Commercial and Services': 0.54, 'Residential': 0.14, 'Other urban or built-up land': 0.16, 'Lakes': 0.16}",37.140351
Suspended particulate (TSP),[ 26.800617 -80.644501],{'Cropland and pasture': 1.0},43.764706
Suspended particulate (TSP),[ 26.770897 -80.083931],"{'Commercial and Services': 0.13, 'Residential': 0.12, 'Industrial': 0.15, 'Other urban or built-up land': 0.6}",39.229167
