Parameter Name,Site_keys,LU,ppm
Suspended particulate (TSP),[ 30.541055 -88.123642],"{'Industrial': 0.22935779816513763, 'Mixed forest land': 0.7706422018348624}",57.909091000000004
Suspended particulate (TSP),[ 30.705746 -88.065277],"{'Residential': 0.48, 'Mixed forest land': 0.52}",50.491803000000004
Suspended particulate (TSP),[ 32.42597  -86.285247],"{'Commercial and Services': 0.04, 'Residential': 0.47, 'Industrial': 0.49}",36.055556
Suspended particulate (TSP),[ 32.396249 -86.295247],"{'Commercial and Services': 0.15, 'Residential': 0.53, 'Mixed forest land': 0.32}",47.206897
Suspended particulate (TSP),[ 32.369027 -86.304413],"{'Commercial and Services': 0.17, 'Residential': 0.75, 'Transportation, communications and services': 0.08}",51.071428999999995
Suspended particulate (TSP),[ 34.619814 -86.997509],"{'Commercial and Services': 0.17, 'Residential': 0.36, 'Industrial': 0.05, 'Other urban or built-up land': 0.2, 'Reservoirs': 0.22}",41.0
Suspended particulate (TSP),[ 34.605925 -86.981952],"{'Commercial and Services': 0.8653846153846154, 'Residential': 0.125, 'Industrial': 0.009615384615384616}",51.5
Suspended particulate (TSP),[ 34.433428 -86.940007],"{'Commercial and Services': 0.04, 'Residential': 0.79, 'Other urban or built-up land': 0.03, 'Cropland and pasture': 0.14}",61.186441
Suspended particulate (TSP),[ 34.623425 -87.026677],"{'Residential': 0.13, 'Industrial': 0.02, 'Cropland and pasture': 0.76, 'Reservoirs': 0.01, 'Mixed forest land': 0.08}",56.840908999999996
Suspended particulate (TSP),[ 34.585648 -87.078623],"{'Commercial and Services': 0.17, 'Cropland and pasture': 0.55, 'Mixed forest land': 0.28}",53.0
Suspended particulate (TSP),[ 31.79056 -85.97917],"{'Commercial and Services': 0.06, 'Mixed urban or built-up land': 0.14, 'Industrial': 0.03, 'Cropland and pasture': 0.51, 'Mixed forest land': 0.26}",47.824560999999996
Suspended particulate (TSP),[ 32.472136 -85.005028],"{'Commercial and Services': 0.29411764705882354, 'Residential': 0.5196078431372549, 'Other urban or built-up land': 0.16666666666666666, 'Mixed urban or built-up land': 0.0196078431372549}",43.20339
Suspended particulate (TSP),[ 33.109008 -86.753597],"{'Commercial and Services': 0.15060240963855423, 'Residential': 0.20481927710843373, 'Industrial': 0.04216867469879518, 'Mixed forest land': 0.6024096385542169}",43.068965999999996
Suspended particulate (TSP),[ 33.27947  -86.349438],"{'Commercial and Services': 0.16, 'Residential': 0.23, 'Cropland and pasture': 0.47, 'Transitional areas': 0.13, 'Mixed forest land': 0.01}",44.42857100000001
Suspended particulate (TSP),[ 33.436775 -86.100527],"{'Commercial and Services': 0.76, 'Residential': 0.24}",49.50943400000001
Suspended particulate (TSP),[ 32.930124 -85.941075],"{'Commercial and Services': 0.08148148148148149, 'Residential': 0.17777777777777778, 'Mixed forest land': 0.7407407407407407}",52.218182
Suspended particulate (TSP),[ 33.217062 -87.538895],"{'Commercial and Services': 0.99, 'Cropland and pasture': 0.01}",54.527273
Suspended particulate (TSP),[ 33.837051 -87.277783],"{'Commercial and Services': 0.16317991631799164, 'Residential': 0.41841004184100417, 'Mixed forest land': 0.41841004184100417}",49.121951
Suspended particulate (TSP),[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}",172.0
Suspended particulate (TSP),[  34.4225 -109.15  ],"{'Shrub-brushland rangeland': 0.49238578680203043, 'Mixed rangeland': 0.5076142131979695}",80.0
Suspended particulate (TSP),[  31.410556 -109.876111],"{'Commercial and Services': 0.02912621359223301, 'Shrub-brushland rangeland': 0.36893203883495146, 'Residential': 0.6019417475728155}",160.471698
Suspended particulate (TSP),[  31.365556 -109.583611],"{'Shrub-brushland rangeland': 0.9611650485436893, 'Mixed rangeland': 0.009708737864077669, 'Other agricultural land': 0.02912621359223301}",64.795918
Suspended particulate (TSP),[  31.374167 -109.734167],"{'Shrub-brushland rangeland': 0.17, 'Cropland and pasture': 0.16, 'Mixed rangeland': 0.67}",537.0408160000002
Suspended particulate (TSP),[  31.349733 -109.539695],"{'Commercial and Services': 0.31, 'Residential': 0.69}",44.1875
Suspended particulate (TSP),[  31.553333 -110.300278],"{'Commercial and Services': 0.43, 'Residential': 0.23, 'Other urban or built-up land': 0.28, 'Mixed rangeland': 0.03, 'Transitional areas': 0.03}",56.414634
Suspended particulate (TSP),[  35.198889 -111.646111],"{'Mixed urban or built-up land': 0.8, 'Residential': 0.2}",41.45
Suspended particulate (TSP),[  35.199179 -111.647939],"{'Mixed urban or built-up land': 0.79, 'Residential': 0.21}",38.697674
Suspended particulate (TSP),[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}",26.877551
Suspended particulate (TSP),[  36.055261 -112.122113],"{'Commercial and Services': 0.0196078431372549, 'Evergreen forest land': 0.9803921568627451}",59.017543999999994
Suspended particulate (TSP),[  36.080539 -112.155726],"{'Shrub-brushland rangeland': 0.93, 'Evergreen forest land': 0.07}",75.60714300000002
Suspended particulate (TSP),[  33.028676 -110.809551],{'Shrub-brushland rangeland': 1.0},66.30508499999999
Suspended particulate (TSP),[  33.006179 -110.785797],"{'Shrub-brushland rangeland': 0.25, 'Industrial': 0.09, 'Residential': 0.66}",62.61016899999999
Suspended particulate (TSP),[  33.385278 -110.866389],{'Shrub-brushland rangeland': 1.0},46.915254
Suspended particulate (TSP),[  33.397555 -110.874001],"{'Commercial and Services': 0.09550561797752809, 'Shrub-brushland rangeland': 0.5617977528089888, 'Residential': 0.34269662921348315}",105.13793100000001
Suspended particulate (TSP),[  32.83388  -109.718611],"{'Commercial and Services': 0.31, 'Residential': 0.34, 'Industrial': 0.25, 'Cropland and pasture': 0.1}",65.55828199999999
Suspended particulate (TSP),[  33.010278 -109.363889],"{'Shrub-brushland rangeland': 0.7575757575757576, 'Industrial': 0.24242424242424243}",82.42857099999998
Suspended particulate (TSP),[  34.149722 -114.288611],"{'Commercial and Services': 0.24489795918367346, 'Shrub-brushland rangeland': 0.5102040816326531, 'Residential': 0.24489795918367346}",62.033898
Suspended particulate (TSP),[  33.410046 -111.864864],"{'Commercial and Services': 0.3, 'Residential': 0.31, 'Cropland and pasture': 0.39}",108.71186399999999
Suspended particulate (TSP),[  33.41045 -111.86507],"{'Commercial and Services': 0.24, 'Residential': 0.3, 'Cropland and pasture': 0.46}",123.40678
Suspended particulate (TSP),[  33.604486 -111.928479],"{'Shrub-brushland rangeland': 0.15, 'Residential': 0.85}",124.17543899999998
Suspended particulate (TSP),[  33.47968 -111.91721],"{'Commercial and Services': 0.03, 'Mixed urban or built-up land': 0.22, 'Other urban or built-up land': 0.34, 'Transitional areas': 0.01, 'Residential': 0.4}",34.25
Suspended particulate (TSP),[  33.405323 -112.074036],"{'Residential': 0.8, 'Mixed urban or built-up land': 0.2}",100.65957399999999
Suspended particulate (TSP),[  33.56033 -112.06626],"{'Commercial and Services': 0.13043478260869565, 'Residential': 0.8695652173913043}",125.344828
Suspended particulate (TSP),[  33.57454 -112.19196],"{'Commercial and Services': 0.25625, 'Cropland and pasture': 0.625, 'Orchards, groves, vineyards, nurseries..': 0.11875}",38.8
Suspended particulate (TSP),[  33.45793 -112.04601],"{'Commercial and Services': 0.16379310344827586, 'Residential': 0.8362068965517241}",143.68518500000005
Suspended particulate (TSP),[  34.48185 -114.33659],"{'Commercial and Services': 0.1, 'Shrub-brushland rangeland': 0.5, 'Transitional areas': 0.155, 'Residential': 0.245}",138.52631599999998
Suspended particulate (TSP),[  35.187222 -114.064167],"{'Commercial and Services': 0.07142857142857142, 'Shrub-brushland rangeland': 0.7936507936507936, 'Residential': 0.1349206349206349}",115.40350900000001
Suspended particulate (TSP),[  34.959167 -110.331944],"{'Commercial and Services': 0.16, 'Residential': 0.57, 'Cropland and pasture': 0.16, 'Transportation, communications and services': 0.1, 'Mixed rangeland': 0.01}",214.87179500000002
Suspended particulate (TSP),[  34.924722 -110.264167],"{'Transportation, communications and services': 0.12, 'Mixed rangeland': 0.88}",58.39285699999999
Suspended particulate (TSP),[  34.2525   -110.036388],"{'Commercial and Services': 0.62, 'Residential': 0.12, 'Cropland and pasture': 0.26}",112.12820500000001
Suspended particulate (TSP),[  31.87564  -110.993703],"{'Residential': 0.08, 'Transportation, communications and services': 0.11, 'Transitional areas': 0.76, 'Shrub-brushland rangeland': 0.05}",57.456522
Suspended particulate (TSP),[  31.95  -112.801],"{'Commercial and Services': 0.15966386554621848, 'Shrub-brushland rangeland': 0.8403361344537815}",68.666667
Suspended particulate (TSP),[  32.222058 -110.974681],"{'Commercial and Services': 0.9607843137254902, 'Residential': 0.0392156862745098}",22.4
Suspended particulate (TSP),[  32.004707 -110.792593],{'Shrub-brushland rangeland': 1.0},98.471698
Suspended particulate (TSP),[  32.090357 -110.961758],"{'Shrub-brushland rangeland': 0.8620689655172413, 'Residential': 0.13793103448275862}",192.625
Suspended particulate (TSP),[  32.201978 -110.967905],"{'Commercial and Services': 0.31, 'Residential': 0.64, 'Mixed urban or built-up land': 0.05}",80.542857
Suspended particulate (TSP),[  32.363963 -110.970653],"{'Residential': 0.34, 'Other urban or built-up land': 0.06, 'Transitional areas': 0.36, 'Shrub-brushland rangeland': 0.24}",117.53846200000001
Suspended particulate (TSP),[  32.179244 -110.875644],"{'Commercial and Services': 0.81, 'Residential': 0.13, 'Other urban or built-up land': 0.06}",128.365385
Suspended particulate (TSP),[  32.27229  -110.989079],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6274509803921569, 'Other urban or built-up land': 0.35294117647058826}",102.4083335
Suspended particulate (TSP),[  32.247298 -110.836753],"{'Commercial and Services': 0.03, 'Shrub-brushland rangeland': 0.95, 'Strip mines, quarries and gravel pits': 0.01, 'Residential': 0.01}",112.269231
Suspended particulate (TSP),[  32.265631 -110.970092],"{'Commercial and Services': 0.01, 'Residential': 0.99}",97.14893599999999
Suspended particulate (TSP),[  32.192299 -110.791752],"{'Residential': 0.46, 'Other urban or built-up land': 0.45, 'Transitional areas': 0.09}",131.945455
Suspended particulate (TSP),[  32.231743 -110.952036],"{'Commercial and Services': 0.98, 'Residential': 0.02}",90.711538
Suspended particulate (TSP),[  32.322661 -111.038389],"{'Residential': 0.54, 'Other urban or built-up land': 0.07, 'Cropland and pasture': 0.16, 'Transitional areas': 0.13, 'Shrub-brushland rangeland': 0.1}",109.35483899999998
Suspended particulate (TSP),[  32.419167 -111.162222],"{'Residential': 0.01, 'Cropland and pasture': 0.94, 'Transportation, communications and services': 0.05}",73.24489799999998
Suspended particulate (TSP),[  32.179521 -111.004816],"{'Residential': 0.5242718446601942, 'Other urban or built-up land': 0.4077669902912621, 'Reservoirs': 0.02912621359223301, 'Shrub-brushland rangeland': 0.038834951456310676}",19.676471
Suspended particulate (TSP),[  32.192299 -111.015649],"{'Shrub-brushland rangeland': 0.43, 'Residential': 0.57}",39.207547
Suspended particulate (TSP),[  32.382036 -112.857453],"{'Shrub-brushland rangeland': 0.5181347150259067, 'Industrial': 0.17098445595854922, 'Residential': 0.31088082901554404}",43.355556
Suspended particulate (TSP),[  32.598611 -110.633611],"{'Commercial and Services': 0.25903614457831325, 'Shrub-brushland rangeland': 0.6024096385542169, 'Other urban or built-up land': 0.012048192771084338, 'Residential': 0.12650602409638553}",142.5
Suspended particulate (TSP),[  32.877583 -111.752222],"{'Commercial and Services': 0.37, 'Residential': 0.13, 'Cropland and pasture': 0.5}",30.863636
Suspended particulate (TSP),[  33.025    -111.388056],"{'Commercial and Services': 0.16, 'Shrub-brushland rangeland': 0.27, 'Other urban or built-up land': 0.02, 'Transitional areas': 0.1, 'Residential': 0.45}",74.875
Suspended particulate (TSP),[  33.291389 -111.101667],"{'Commercial and Services': 0.005, 'Shrub-brushland rangeland': 0.5, 'Residential': 0.495}",60.692308
Suspended particulate (TSP),[  31.340278 -110.94    ],"{'Commercial and Services': 0.45, 'Residential': 0.55}",32.75
Suspended particulate (TSP),[  31.337204 -110.936718],"{'Commercial and Services': 0.31, 'Residential': 0.62, 'Null area -- no land use assigned': 0.05, 'Shrub-brushland rangeland': 0.02}",51.424242
Suspended particulate (TSP),[  34.582386 -111.824607],{'Shrub-brushland rangeland': 1.0},97.764706
Suspended particulate (TSP),[  34.534722 -112.479722],"{'Commercial and Services': 0.07547169811320754, 'Residential': 0.9245283018867925}",97.214286
Suspended particulate (TSP),[  34.558611 -112.4825  ],"{'Commercial and Services': 0.68, 'Residential': 0.32}",49.222221999999995
Suspended particulate (TSP),[  34.767222 -112.063333],"{'Shrub-brushland rangeland': 0.76, 'Other urban or built-up land': 0.07, 'Residential': 0.17}",30.714285999999998
Suspended particulate (TSP),[  35.513486 -113.322198],"{'Commercial and Services': 0.03636363636363636, 'Strip mines, quarries and gravel pits': 0.05454545454545454, 'Evergreen forest land': 0.9090909090909091}",18.395349
Suspended particulate (TSP),[  32.723333 -114.622065],"{'Commercial and Services': 0.9215686274509803, 'Residential': 0.0784313725490196}",41.381818
Suspended particulate (TSP),[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}",65.55
Suspended particulate (TSP),[  37.682708 -121.770231],"{'Commercial and Services': 0.77, 'Residential': 0.23}",188.272727
Suspended particulate (TSP),[  37.87687  -122.266913],"{'Commercial and Services': 0.32, 'Residential': 0.68}",98.442623
Suspended particulate (TSP),[  37.800484 -122.266358],{'Commercial and Services': 1.0},108.03333300000001
Suspended particulate (TSP),[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}",89.80645200000002
Suspended particulate (TSP),[  39.733494 -121.8472  ],"{'Commercial and Services': 0.87, 'Residential': 0.13}",61.438596
Suspended particulate (TSP),[  39.512386 -121.555248],"{'Commercial and Services': 0.5490196078431373, 'Residential': 0.3333333333333333, 'Industrial': 0.058823529411764705, 'Other urban or built-up land': 0.049019607843137254, 'Herbaceous Rangeland': 0.00980392156862745}",52.59259300000001
