,Parameter Name,Site_keys_x,Arithmetic Mean,forest,open_land,water,wetland,transitional,urban_public_institution,commercial,transportation,crop_land,medium_density_residential,industrial,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
0,SO2,[ 32.42847  -86.443585],0.00290529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246376811594203,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
1,SO2,[ 31.056847 -87.259142],0.000587097,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
2,SO2,[ 34.720368 -87.819755],0.004579016,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
3,SO2,[ 34.772033 -87.901423],0.004710949,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
4,SO2,[ 34.716757 -87.881701],0.008465641999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
5,SO2,[ 34.689813 -87.849756],0.0059993830000000005,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
6,SO2,[ 34.735368 -87.875312],0.008110175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
7,SO2,[ 31.228787 -85.375489],0.007934783,0.04,0.0,0.0,0.0,0.0,0.15,0.01,0.0,0.0,0.62,0.18,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
8,SO2,[ 34.856748 -85.73525 ],0.007966906,0.6289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3710691823899371,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
9,SO2,[ 34.912302 -85.664136],0.009829716000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
10,SO2,[ 34.855637 -85.747473],0.008749404,0.6060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
11,SO2,[ 34.877025 -85.720805],0.009693607,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
12,SO2,[ 34.867859 -85.721361],0.007140837,0.021897810218978103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284671532846715,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
13,SO2,[ 34.938969 -85.66108 ],0.01233023,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
14,SO2,[ 34.959804 -85.775529],0.00711716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.17081747058825,64.31325205769232,0.28830459999999997,0.2356773333333333,4.7631961999999985
