Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,Average Ambient Pressure,Average Ambient Temperature,Outdoor Temperature,Solar radiation,Wind Speed - Resultant
PM2.5 - Local Conditions,[  35.385574 -119.015009],0.008735833,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.55,0.13,0,0,0.0,0,0,0,0.32,0,0.0,750.145299,20.573504,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  35.356092 -119.041209],0.0125620655,0.0,0.0,0.0,0.0,0,0,0,0.0,0.18,0.16,0.06,0,0,0.0,0,0,0,0.6,0,0.0,750.993884,21.718349,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  35.322928 -118.999167],0.009548325,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.09,0.01,0,0,0.87,0,0,0,0.0,0,0.0,750.02,20.551,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.761538 -121.84162 ],0.009562903000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.38461538461499994,0.0,0,0,0.0,0,0,0,0.615384615385,0,0.0,754.128049,17.855183,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.202935 -122.017728],0.009468033,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0.14,0,0.0,758.766667,17.58,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.785322 -119.774174],0.0075379999999999996,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.193548387097,0.0,0,0,0.0,0,0,0,0.8064516129029999,0,0.0,752.087324,19.163099,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.819111 -119.717356],0.007662775500000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.13,0,0,0,0.87,0,0.0,751.305785,19.684298,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.72639 -119.733  ],0.011262602,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.19,0.0,0,0,0.13,0,0,0,0.66,0,0.0,752.4333330000002,19.5575,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  40.776944 -124.1775  ],0.007037209,0.0,0.0,0.0,0.0,0,0,0,0.0,0.02,0.27,0.0,0,0,0.0,0,0,0,0.71,0,0.0,760.040984,12.342623,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  40.71528 -124.20139],0.007306838,0.09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.73,0,0,0,0.17,0,0.0,748.786885,11.947541,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.676186 -115.484144],0.0077,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0,758.188791,26.446313,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.97833 -115.53917],0.009604286,0.0,0.0,0.04,0.0,0,0,0,0.0,0.0,0.37,0.0,0,0,0.0,0,0,0,0.59,0,0.0,759.695652,26.85,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  32.79222 -115.56306],0.010330055999999999,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.479674796748,0.0,0,0,0.0,0,0,0,0.5203252032519999,0,0.0,757.826087,26.757609,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.487823 -117.871036],0.009400287,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.26,666.95614,17.829825,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  36.10218  -119.566954],0.005548214,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.142222222222,0.0,0,0,0.444444444444,0,0,0,0.41333333333300004,0,0.0,755.647059,19.140336,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  39.0327  -122.92229],0.011980398,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0.15,725.032787,15.696720999999998,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.901389 -118.205   ],0.011028696000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0,761.2608700000002,20.176522,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.82376 -118.18921],0.006255932,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.03,0,0,0.0,0,0,0,0.51,0,0.34,756.320225,18.188764000000006,50.37607266071428,0.07622203571428572,3.0030035357142855
PM2.5 - Local Conditions,[  33.79236 -118.17533],0.013998148500000002,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0,760.751429,18.172286,50.37607266071428,0.07622203571428572,3.0030035357142855
