Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned
Suspended particulate (TSP),[ 34.845082 -85.749695],61.7,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.858692 -85.722472],52.836364,0.769230769231,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.230769230769,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.891474 -86.093316],78.695502,0.59880239521,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.40119760479,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 34.677028 -86.014146],79.490566,0.43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.24,0,0.0,0.0
Suspended particulate (TSP),[ 33.3975   -86.955278],81.107143,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.62,0.0,0,0,0.0,0,0,0,0.26,0,0.0,0.0
Suspended particulate (TSP),[ 33.504827 -86.799434],76.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.76,0.0,0,0,0.0,0,0,0,0.24,0,0.0,0.0
Suspended particulate (TSP),[ 33.537605 -86.759433],94.944828,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.35,0.0,0,0,0.0,0,0,0,0.65,0,0.0,0.0
Suspended particulate (TSP),[ 33.490939 -86.853324],83.898305,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.24,0.0,0.0,0,0,0.0,0,0,0,0.76,0,0.0,0.0
Suspended particulate (TSP),[ 33.520661 -86.801934],89.22807,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
Suspended particulate (TSP),[ 33.511773 -86.893603],125.363636,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.41,0.0,0,0,0.0,0,0,0,0.59,0,0.0,0.0
