State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
41,19,2,11203,1,43.2266,-123.36479,WGS84,Light scatter,1 HOUR,,Observed Values,Radiance Research M903 With Heated Inlet - Nephelometry,2016,Beta Scatter,No Events,8162,93,Y,339,366,0,622,,,Certification not required,0,0.408552,0.189202,2.2,2016-05-27 15:00,1.9,2016-05-27 14:00,1.8,2016-01-02 23:00,1.6,2016-01-01 23:00,,,,,1.1,1.0,0.8,0.6,0.5,0.3,0.3,"ROSEBURG, OR; BLM OFFICE - RGV","777 NW GARDEN VALLEY RD, ROSEBURG, OR; BLM OFFICE",Oregon,Douglas,Roseburg,"Roseburg, OR",2017-04-25,[  43.2266  -123.36479],"{'Commercial and Services': 0.66, 'Residential': 0.07, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.06, 'Evergreen forest land': 0.2}"
41,19,2,88502,3,43.2266,-123.36479,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Correlated Radiance Research M903 With Heated Inlet - Nephelometry,2016,Micrograms/cubic meter (LC),No Events,8162,93,Y,339,366,0,622,,,Certification not required,0,5.958086,3.756472,41.7,2016-05-27 15:00,35.2,2016-05-27 14:00,32.8,2016-01-02 23:00,29.6,2016-01-02 00:00,,,,,19.2,16.8,12.7,9.9,7.5,5.9,1.9,"ROSEBURG, OR; BLM OFFICE - RGV","777 NW GARDEN VALLEY RD, ROSEBURG, OR; BLM OFFICE",Oregon,Douglas,Roseburg,"Roseburg, OR",2017-04-27,[  43.2266  -123.36479],"{'Commercial and Services': 0.66, 'Residential': 0.07, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.06, 'Evergreen forest land': 0.2}"
41,19,2,88502,3,43.2266,-123.36479,WGS84,Acceptable PM2.5 AQI & Speciation Mass,24-HR BLK AVG,,Observed Values,,2016,Micrograms/cubic meter (LC),No Events,339,93,Y,339,366,0,0,,,Certification not required,0,5.922419,2.991353,18.7,2016-01-03 00:00,18.1,2016-11-11 00:00,17.1,2016-01-02 00:00,16.4,2016-11-05 00:00,,,,,16.4,13.7,11.1,9.1,7.5,5.7,2.4,"ROSEBURG, OR; BLM OFFICE - RGV","777 NW GARDEN VALLEY RD, ROSEBURG, OR; BLM OFFICE",Oregon,Douglas,Roseburg,"Roseburg, OR",2017-04-27,[  43.2266  -123.36479],"{'Commercial and Services': 0.66, 'Residential': 0.07, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.06, 'Evergreen forest land': 0.2}"
