Unnamed: 0,Parameter Name,Site_keys_x,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial,not_assigned,Dew Point,Outdoor Temperature,Solar radiation,Sulfation rate,Wind Speed - Resultant
17,Suspended particulate (TSP),[ 34.456199 -85.707189],0.052363636,0.035714285714300006,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.107142857143,0.0,0.0,0,0.0,0,0,0,0.8571428571430001,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
18,Suspended particulate (TSP),[ 31.106567 -87.071081],0.06001694900000001,0.578034682081,0.0,0.00578034682081,0.0,0.0,0,0,0.0,0.0,0.28901734104000004,0.0,0.0,0,0.0,0,0,0,0.0982658959538,0,0.028901734104,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
19,Suspended particulate (TSP),[ 33.996487 -86.047195],0.055183333,0.02,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.36,0,0,0,0.62,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
20,Suspended particulate (TSP),[ 34.011208 -86.057473],0.045472727000000004,0.06,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.07,0,0,0,0.6,0,0.27,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
21,Suspended particulate (TSP),[ 34.015375 -86.012194],0.047631578999999986,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.47,0.0,0.0,0,0.0,0,0,0,0.53,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
22,Suspended particulate (TSP),[ 34.511762 -87.718088],0.043368421,0.492610837438,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.182266009852,0.0,0.0,0,0.221674876847,0,0,0,0.103448275862,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
23,Suspended particulate (TSP),[ 31.228787 -85.375489],0.0640625,0.04,0.0,0.0,0.0,0.0,0,0,0.0,0.15,0.01,0.0,0.0,0,0.0,0,0,0,0.62,0,0.18,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
24,Suspended particulate (TSP),[ 34.934525 -85.720804],0.055647059000000006,0.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.91,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
25,Suspended particulate (TSP),[ 34.855637 -85.747473],0.055491228,0.606060606061,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.393939393939,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
26,Suspended particulate (TSP),[ 34.877025 -85.720805],0.092267857,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
27,Suspended particulate (TSP),[ 34.918414 -85.733861],0.066719298,0.33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.67,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
28,Suspended particulate (TSP),[ 34.872581 -85.743028],0.087261905,0.68,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.32,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
29,Suspended particulate (TSP),[ 34.845082 -85.749695],0.06170000000000001,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
30,Suspended particulate (TSP),[ 34.858692 -85.722472],0.052836364,0.769230769231,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.230769230769,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
31,Suspended particulate (TSP),[ 34.891474 -86.093316],0.078695502,0.59880239521,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.40119760479,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
32,Suspended particulate (TSP),[ 34.677028 -86.014146],0.079490566,0.53,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0766666666667,0.0,0.0,0,0.0,0,0,0,0.316666666667,0,0.0766666666667,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
33,Suspended particulate (TSP),[ 33.3975   -86.955278],0.08110714299999999,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.62,0.0,0.0,0,0.0,0,0,0,0.26,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
34,Suspended particulate (TSP),[ 33.504827 -86.799434],0.0765,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.76,0.0,0.0,0,0.0,0,0,0,0.24,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
35,Suspended particulate (TSP),[ 33.537605 -86.759433],0.094944828,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.35,0.0,0.0,0,0.0,0,0,0,0.65,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
36,Suspended particulate (TSP),[ 33.490939 -86.853324],0.083898305,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.24,0.0,0.0,0.0,0,0.0,0,0,0,0.76,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
37,Suspended particulate (TSP),[ 33.520661 -86.801934],0.08922807,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
38,Suspended particulate (TSP),[ 33.511773 -86.893603],0.12536363600000006,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.41,0.0,0.0,0,0.0,0,0,0,0.59,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
39,Suspended particulate (TSP),[ 33.533716 -86.850824],0.121417241,0.09,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.46,0.08,0.0,0,0.0,0,0,0,0.37,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
40,Suspended particulate (TSP),[ 33.553056 -86.815   ],0.10946808500000002,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.86,0.0,0.0,0,0.0,0,0,0,0.1,0,0.04,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
41,Suspended particulate (TSP),[ 33.565104 -86.77999 ],0.083310811,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.07,0.0,0.0,0,0.0,0,0,0,0.93,0,0.0,0.0,36.17081747058825,64.31325205769232,0.2883046,0.23567733333333327,4.763196199999999
