Parameter Name,Site_keys,ppm,forest,open_land,water,wetland,saltwater/sandybeach,recreational,marina,transitional,urban_public/institution,commercial,transportation,mining,waste,crop_land,cemetary,golfcourse,high_density_residential,medium_density_residential,low_density_residential,industrial
PM2.5 - Local Conditions,[  36.72639 -119.733  ],0.011262602,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.19,0.0,0,0,0.13,0,0,0,0.66,0,0.0
PM2.5 - Local Conditions,[  40.776944 -124.1775  ],0.007037209,0.0,0.0,0.0,0.0,0,0,0,0.0,0.02,0.27,0.0,0,0,0.0,0,0,0,0.71,0,0.0
PM2.5 - Local Conditions,[  40.71528 -124.20139],0.007306838000000001,0.09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.73,0,0,0,0.17,0,0.0
PM2.5 - Local Conditions,[  32.676186 -115.484144],0.0077,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.0,0,0,0.22,0,0,0,0.28,0,0.0
PM2.5 - Local Conditions,[  32.97833 -115.53917],0.009604286,0.0,0.0,0.04,0.0,0,0,0,0.0,0.0,0.37,0.0,0,0,0.0,0,0,0,0.59,0,0.0
PM2.5 - Local Conditions,[  32.79222 -115.56306],0.010330056,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.4796747967479675,0.0,0,0,0.0,0,0,0,0.5203252032520326,0,0.0
PM2.5 - Local Conditions,[  36.487823 -117.871036],0.009400287,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.26
PM2.5 - Local Conditions,[  36.10218  -119.566954],0.005548214,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.14222222222222222,0.0,0,0,0.4444444444444444,0,0,0,0.41333333333333333,0,0.0
PM2.5 - Local Conditions,[  39.0327  -122.92229],0.011980398,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0,0,0.0,0,0,0,0.0,0,0.15
PM2.5 - Local Conditions,[  33.901389 -118.205   ],0.011028696000000001,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.62,0.0,0,0,0.0,0,0,0,0.38,0,0.0
PM2.5 - Local Conditions,[  33.82376 -118.18921],0.006255932,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.12,0.03,0,0,0.0,0,0,0,0.51,0,0.34
PM2.5 - Local Conditions,[  33.79236 -118.17533],0.013998148500000002,0.0,0.0,0.0,0.0,0,0,0,0.0,0.12,0.35,0.0,0,0,0.0,0,0,0,0.53,0,0.0
PM2.5 - Local Conditions,[  33.859444 -118.200278],0.012445414000000002,0.0,0.0,0.0,0.0,0,0,0,0.0,0.26,0.0,0.0,0,0,0.18,0,0,0,0.18,0,0.38
PM2.5 - Local Conditions,[  34.06659 -118.22688],0.011680833,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.031088082901554404,0.5181347150259067,0,0,0.0,0,0,0,0.0,0,0.45077720207253885
PM2.5 - Local Conditions,[  34.19925 -118.53276],0.014782774,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.32432432432432434,0.0,0,0,0.0,0,0,0,0.6756756756756757,0,0.0
PM2.5 - Local Conditions,[  34.01194 -118.06995],0.011904238,0.0,0.0,0.0,0.0,0,0,0,0.0,0.16,0.03,0.0,0,0,0.0,0,0,0,0.81,0,0.0
PM2.5 - Local Conditions,[  34.1326 -118.1272],0.01218999575,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.21,0.0,0,0,0.0,0,0,0,0.79,0,0.0
PM2.5 - Local Conditions,[  36.953256 -120.034203],0.011043549,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.02,0.0,0,0,0.21,0,0,0,0.0,0,0.0
