,		State Code,County Code,Tribal Code,Site ID,Support Agency Code,Location Address,City Code,Postal Code,Local ID,Local Name,Urban Area Code,AQCR Code,Land Use ID,Location Setting ID,Site Established Date,Latitude,Longitude,Horizontal Method Code,Horizontal Datum ID,Parameter Code,Parameter Name,Substance Occurrence Code,Duration Code,Method ID,Measure Unit Code,Sample Collection Start Date,Sample Collection Start Time,Measure Value,Measure Unit,Null Data Code,Qualifier Code,Data Validity Code
15,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 02:00:00,26.0,0.07622999999999999,ppm,,,RAW
16,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 03:00:00,27.0,0.07572000000000001,ppm,,,RAW
17,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 04:00:00,28.0,0.08037000000000001,ppm,,,RAW
18,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 05:00:00,29.0,0.08995,ppm,,,RAW
19,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 06:00:00,30.0,0.12159,ppm,,,RAW
20,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 07:00:00,31.0,0.14127,ppm,,,RAW
21,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-20 08:00:00,32.0,0.14379,ppm,,,RAW
22,				MA,'025,,'250250044,'0660,19 Von Hillern Street,7000,'02125,Boston Von Hillern,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,2013-04-25,42.325184,-71.05608000000001,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-19 12:00:00,36.0,0.24461,ppm,,,RAW
23,				MA,'025,,'250250044,'0660,19 Von Hillern Street,7000,'02125,Boston Von Hillern,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,2013-04-25,42.325184,-71.05608000000001,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-19 15:00:00,39.0,0.19509,ppm,,,RAW
24,				MA,'025,,'250250044,'0660,19 Von Hillern Street,7000,'02125,Boston Von Hillern,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,2013-04-25,42.325184,-71.05608000000001,'015,WGS84,42101,Carbon Monoxide,1,1,'593 ,'007,2017-06-19 16:00:00,40.0,0.19529000000000002,ppm,,,RAW
