LU,Parameter Name,Site_keys,ppm
{'Residential': 1.0},PM2.5 - Local Conditions,[  38.558228 -121.492981],0.011255171999999999
"{'Mixed urban or built-up land': 0.485, 'Cropland and pasture': 0.015, 'Transportation, communications and services': 0.5}",PM2.5 - Local Conditions,[  38.593322 -121.503795],0.008045263
{'Residential': 1.0},PM2.5 - Local Conditions,[  38.556326 -121.458499],0.008645161
{'Cropland and pasture': 1.0},PM2.5 - Local Conditions,[  38.66121 -121.73269],0.006930392
"{'Residential': 0.76, 'Industrial': 0.1, 'Mixed urban or built-up land': 0.14}",PM2.5 - Local Conditions,[  37.348497 -121.894898],0.007616378999999999
"{'Transportation, communications and services': 0.08264462809917356, 'Industrial': 0.01652892561983471, 'Cropland and pasture': 0.6694214876033058, 'Orchards, groves, vineyards, nurseries..': 0.04132231404958678, 'Confined feeding operations': 0.19008264462809918}",PM2.5 - Local Conditions,[  34.030833 -117.61722 ],0.01456
"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.7572815533980582, 'Other urban or built-up land': 0.21359223300970873}",PM2.5 - Local Conditions,[  34.10002 -117.49201],0.008476705000000001
"{'Residential': 0.3067484662576687, 'Reservoirs': 0.05521472392638037, 'Transportation, communications and services': 0.024539877300613498, 'Evergreen forest land': 0.6134969325153374}",PM2.5 - Local Conditions,[  34.264444 -116.864444],0.006316667
"{'Commercial and Services': 0.34, 'Residential': 0.3, 'Other urban or built-up land': 0.34, 'Cropland and pasture': 0.02}",PM2.5 - Local Conditions,[  34.10688 -117.27411],0.007309540499999999
"{'Commercial and Services': 0.18032786885245902, 'Residential': 0.4057377049180328, 'Transportation, communications and services': 0.4098360655737705, 'Transitional areas': 0.004098360655737705}",PM2.5 - Local Conditions,[  32.631231 -117.059075],0.0029852459999999996
"{'Commercial and Services': 0.0891089108910891, 'Residential': 0.12871287128712872, 'Industrial': 0.7326732673267327, 'Transportation, communications and services': 0.04950495049504951}",PM2.5 - Local Conditions,[  32.701492 -117.149653],0.008118519000000001
"{'Shrub-brushland rangeland': 0.7, 'Transportation, communications and services': 0.16, 'Mixed rangeland': 0.14}",PM2.5 - Local Conditions,[  32.845467 -117.123894],0.006281667
"{'Commercial and Services': 0.09, 'Industrial': 0.52, 'Other urban or built-up land': 0.22, 'Transportation, communications and services': 0.17}",PM2.5 - Local Conditions,[  32.817978 -116.968133],0.007600915
"{'Commercial and Services': 0.08256880733944955, 'Residential': 0.9174311926605505}",PM2.5 - Local Conditions,[  32.789561 -116.944222],0.0130603705
