FID,STOP_ID,STOP_NAME,TOWN,TOWN_ID,SHAPE
GISDATA.MBTABUSSTOPS_PT.1563,641,Washington St @ Aldwin Rd,BOSTON,35,POINT (-71.11932741671251 42.29471481358332)
GISDATA.MBTABUSSTOPS_PT.3130,2002,Centre St @ Arborway,BOSTON,35,POINT (-71.12057226667694 42.30900866745978)
GISDATA.MBTABUSSTOPS_PT.3472,1552,High St @ Cypress St,BROOKLINE,46,POINT (-71.12131000331792 42.324840000712925)
GISDATA.MBTABUSSTOPS_PT.2733,1313,Harvard St @ Washington St,BROOKLINE,46,POINT (-71.1187476481868 42.33296529195982)
GISDATA.MBTABUSSTOPS_PT.2712,1285,Washington St @ Station St,BROOKLINE,46,POINT (-71.11810241594826 42.33211215401041)
GISDATA.MBTABUSSTOPS_PT.3932,1053,Western Ave @ Genzyme,BOSTON,35,POINT (-71.11981087521825 42.36401707399361)
GISDATA.MBTABUSSTOPS_PT.919,1189,Cambridge St @ Mass Pike,BOSTON,35,POINT (-71.11864744948238 42.36076733565102)
GISDATA.MBTABUSSTOPS_PT.1285,12614,Waterhouse St @ Massachusetts Ave,CAMBRIDGE,49,POINT (-71.12049432502783 42.37781594858089)
GISDATA.MBTABUSSTOPS_PT.4388,22549,Harvard Sq @ Garden St - Dawes Island,CAMBRIDGE,49,POINT (-71.11920021066788 42.37529961285357)
GISDATA.MBTABUSSTOPS_PT.4740,2314,Massachusetts Ave @ Exeter Park,CAMBRIDGE,49,POINT (-71.11933843331684 42.384888444743275)
GISDATA.MBTABUSSTOPS_PT.4484,12301,Massachusetts Ave @ Upland Rd,CAMBRIDGE,49,POINT (-71.11948699922056 42.38823469023446)
GISDATA.MBTABUSSTOPS_PT.4490,2430,Somerville Ave @ Massachusetts Ave,CAMBRIDGE,49,POINT (-71.11893385717724 42.38851518157728)
GISDATA.MBTABUSSTOPS_PT.6886,2583,Elm St @ Russell St,SOMERVILLE,274,POINT (-71.12077905643265 42.393632340975614)
GISDATA.MBTABUSSTOPS_PT.7691,2739,Broadway @ Powder House Blvd,SOMERVILLE,274,POINT (-71.11723033097917 42.40086798813122)
GISDATA.MBTABUSSTOPS_PT.7690,5021,College Ave @ Broadway - Powder House Sq,SOMERVILLE,274,POINT (-71.11695940596618 42.400853821104796)
GISDATA.MBTABUSSTOPS_PT.6470,12376,Winthrop St @ Orchard St,MEDFORD,176,POINT (-71.12080236238518 42.41303724748263)
GISDATA.MBTABUSSTOPS_PT.6135,2409,372 Boston Ave opp Fairmount St,MEDFORD,176,POINT (-71.12012629811117 42.41051208645174)
GISDATA.MBTABUSSTOPS_PT.6635,5037,George St @ Winthrop St,MEDFORD,176,POINT (-71.11983388467422 42.41423133359461)
GISDATA.MBTABUSSTOPS_PT.3117,99991,South St @ Bardwell St,BOSTON,35,POINT (-71.11554926525417 42.308368124154946)
GISDATA.MBTABUSSTOPS_PT.3212,1164,Centre St @ Myrtle St,BOSTON,35,POINT (-71.11409770386852 42.31329660640126)
GISDATA.MBTABUSSTOPS_PT.867,11131,Centre St @ Roseway,BOSTON,35,POINT (-71.11200480754087 42.319004832894265)
GISDATA.MBTABUSSTOPS_PT.3048,6570,S Huntington Ave @ Perkins St,BOSTON,35,POINT (-71.11209833109756 42.32168520351662)
GISDATA.MBTABUSSTOPS_PT.3525,6573,S Huntington Ave @ VA Hospital,BOSTON,35,POINT (-71.11135540735626 42.32661054024432)
GISDATA.MBTABUSSTOPS_PT.4328,1431,Broadway @ Felton St,CAMBRIDGE,49,POINT (-71.11267601727727 42.37392902841296)
GISDATA.MBTABUSSTOPS_PT.4170,2567,Quincy St @ Kirkland St,CAMBRIDGE,49,POINT (-71.11412051425532 42.37651470661303)
GISDATA.MBTABUSSTOPS_PT.4733,2589,Somerville Ave @ Sacramento St,SOMERVILLE,274,POINT (-71.11196642846411 42.38464273563744)
GISDATA.MBTABUSSTOPS_PT.6754,2672,Highland Ave @ Cherry St,SOMERVILLE,274,POINT (-71.11418530351996 42.392977624654804)
GISDATA.MBTABUSSTOPS_PT.6304,5035,55 George St opp Wedgemere Rd,MEDFORD,176,POINT (-71.11365173277841 42.41174739103398)
GISDATA.MBTABUSSTOPS_PT.6955,5319,Main St opp South St,MEDFORD,176,POINT (-71.11044347017888 42.416517998542425)
GISDATA.MBTABUSSTOPS_PT.7571,5004,High St @ Powder House Rd,MEDFORD,176,POINT (-71.11498362639271 42.42017072655976)
GISDATA.MBTABUSSTOPS_PT.534,71187,Washington St opp Brookley Rd,BOSTON,35,POINT (-71.10920441747392 42.30473940396706)
GISDATA.MBTABUSSTOPS_PT.3033,1134,Centre St @ Paul Gore St,BOSTON,35,POINT (-71.11061551765836 42.32087131038914)
GISDATA.MBTABUSSTOPS_PT.3336,1521,Brookline Ave @ Longwood Ave,BOSTON,35,POINT (-71.10741393413119 42.33879014624959)
GISDATA.MBTABUSSTOPS_PT.2806,1773,Mountfort St @ Lenox St,BROOKLINE,46,POINT (-71.10991419750599 42.349354169725736)
GISDATA.MBTABUSSTOPS_PT.3272,1813,Brookline St @ Erie St,CAMBRIDGE,49,POINT (-71.10605278665527 42.35924744982289)
GISDATA.MBTABUSSTOPS_PT.3916,1125,Magazine St @ William St,CAMBRIDGE,49,POINT (-71.10628487218159 42.363458917453386)
GISDATA.MBTABUSSTOPS_PT.3960,1123,Green St @ Magazine St,CAMBRIDGE,49,POINT (-71.1044185089021 42.36491304827733)
GISDATA.MBTABUSSTOPS_PT.4201,2457,Beacon St @ Park St,SOMERVILLE,274,POINT (-71.10860409997049 42.38010095071146)
GISDATA.MBTABUSSTOPS_PT.7376,2699,Broadway @ Hinckley St - Magoun Sq,SOMERVILLE,274,POINT (-71.10514865009014 42.397598300487736)
GISDATA.MBTABUSSTOPS_PT.5489,5311,Main St @ Harvard St,MEDFORD,176,POINT (-71.10788173989283 42.40502241648669)
GISDATA.MBTABUSSTOPS_PT.5819,5293,Main St @ Windsor Rd,MEDFORD,176,POINT (-71.10940765740659 42.408650651429184)
GISDATA.MBTABUSSTOPS_PT.6608,2889,Mystic Ave @ Columbia Rd,MEDFORD,176,POINT (-71.10888015427064 42.41349532533172)
GISDATA.MBTABUSSTOPS_PT.7266,5002,Salem St opp River St,MEDFORD,176,POINT (-71.10783075121815 42.418522312021814)
GISDATA.MBTABUSSTOPS_PT.7247,63242,Clippership Rd opp City Hall,MEDFORD,176,POINT (-71.10518780511698 42.41809876937282)
GISDATA.MBTABUSSTOPS_PT.3078,546,Morton St @ Shattuck Hospital,BOSTON,35,POINT (-71.10210311940783 42.298728646846776)
GISDATA.MBTABUSSTOPS_PT.3438,1138,Centre St @ Estrella St,BOSTON,35,POINT (-71.10298172805828 42.32291447184267)
GISDATA.MBTABUSSTOPS_PT.3441,11531,Jackson Sq Station @ Orange Line,BOSTON,35,POINT (-71.09948938609426 42.32310663460658)
GISDATA.MBTABUSSTOPS_PT.2714,13590,Tremont St @ Tobin Community Center,BOSTON,35,POINT (-71.09859799451488 42.33208072442931)
GISDATA.MBTABUSSTOPS_PT.3265,1362,Tremont St @ Huntington Ave,BOSTON,35,POINT (-71.1038697114748 42.33385076310635)
GISDATA.MBTABUSSTOPS_PT.1942,92391,677 Huntington Ave,BOSTON,35,POINT (-71.10269890128757 42.335055727225175)
GISDATA.MBTABUSSTOPS_PT.3365,11781,Ave Louis Pasteur @ The Fenway,BOSTON,35,POINT (-71.10097555193181 42.340263812637865)
GISDATA.MBTABUSSTOPS_PT.3871,2222,Broadway @ Inman St,CAMBRIDGE,49,POINT (-71.10274737724349 42.3700040256757)
GISDATA.MBTABUSSTOPS_PT.4329,14031,Cambridge St @ Fayette St,CAMBRIDGE,49,POINT (-71.10218952187346 42.373913505637134)
GISDATA.MBTABUSSTOPS_PT.4318,1404,Cambridge St @ Hampshire St,CAMBRIDGE,49,POINT (-71.10037722253318 42.37368120833899)
GISDATA.MBTABUSSTOPS_PT.4389,12767,Springfield St opp Houghton St,SOMERVILLE,274,POINT (-71.09999581316488 42.37526976207818)
GISDATA.MBTABUSSTOPS_PT.1329,2616,Washington St @ Leland St,SOMERVILLE,274,POINT (-71.10268644989098 42.379181653277264)
GISDATA.MBTABUSSTOPS_PT.4263,12615,Somerville Ave @ Church St,SOMERVILLE,274,POINT (-71.10033307762497 42.38146885668986)
GISDATA.MBTABUSSTOPS_PT.4268,2574,51 Bow St,SOMERVILLE,274,POINT (-71.09852178978723 42.38159388177535)
GISDATA.MBTABUSSTOPS_PT.4535,2387,Medford St @ Thurston St,SOMERVILLE,274,POINT (-71.09804528325937 42.38997840421528)
GISDATA.MBTABUSSTOPS_PT.5625,42883,Mystic Ave opp Bonner Ave,MEDFORD,176,POINT (-71.10111004268018 42.40531416163583)
GISDATA.MBTABUSSTOPS_PT.5479,41883,326 Mystic Ave,MEDFORD,176,POINT (-71.10030915264012 42.404465875431406)
GISDATA.MBTABUSSTOPS_PT.7433,5287,Salem St @ Allen Ct,MEDFORD,176,POINT (-71.10213702148417 42.419468150719595)
GISDATA.MBTABUSSTOPS_PT.7436,5321,Salem St @ Hadley Pl,MEDFORD,176,POINT (-71.10157680680224 42.41961007632584)
GISDATA.MBTABUSSTOPS_PT.2996,1186,Washington St @ Bragdon St,BOSTON,35,POINT (-71.09673839393915 42.31738380793317)
GISDATA.MBTABUSSTOPS_PT.3035,1169,Washington St @ Brinton St,BOSTON,35,POINT (-71.09304711240273 42.32087562496441)
GISDATA.MBTABUSSTOPS_PT.3235,1221,Columbus Ave @ Cedar St,BOSTON,35,POINT (-71.09705479038327 42.328037567308904)
GISDATA.MBTABUSSTOPS_PT.2939,11257,Malcolm X Blvd @ King St,BOSTON,35,POINT (-71.09269332140813 42.33127312503704)
GISDATA.MBTABUSSTOPS_PT.3742,1927,Jersey St @ Boylston,BOSTON,35,POINT (-71.09781746107008 42.34445284267239)
GISDATA.MBTABUSSTOPS_PT.911,1564,Brookline Ave @ Newbury St,BOSTON,35,POINT (-71.0972942865911 42.34841680770822)
GISDATA.MBTABUSSTOPS_PT.3270,97,77 Massachusetts Ave,CAMBRIDGE,49,POINT (-71.09364362745832 42.359132711615345)
GISDATA.MBTABUSSTOPS_PT.3595,24484,Broadway @ Windsor St,CAMBRIDGE,49,POINT (-71.09558325209102 42.36717512167325)
GISDATA.MBTABUSSTOPS_PT.2646,2523,Hampshire St @ Windsor St,CAMBRIDGE,49,POINT (-71.09468952037875 42.368687628488054)
GISDATA.MBTABUSSTOPS_PT.4307,1424,Cambridge St @ Prospect St,CAMBRIDGE,49,POINT (-71.09798366942555 42.373368659142166)
GISDATA.MBTABUSSTOPS_PT.3869,2524,Hampshire St @ Columbia St,CAMBRIDGE,49,POINT (-71.09610091900097 42.36985196227017)
GISDATA.MBTABUSSTOPS_PT.4280,2525,Columbia St @ Cambridge St,CAMBRIDGE,49,POINT (-71.09455335363756 42.372797698945696)
GISDATA.MBTABUSSTOPS_PT.4015,2515,Windsor St @ Lincoln St,CAMBRIDGE,49,POINT (-71.09392837337012 42.371032754159344)
GISDATA.MBTABUSSTOPS_PT.4278,1422,Cambridge St @ Windsor St,CAMBRIDGE,49,POINT (-71.09314562553418 42.37273600337757)
GISDATA.MBTABUSSTOPS_PT.4199,2510,Somerville Ave @ Union Square,SOMERVILLE,274,POINT (-71.09666716522516 42.38003965616742)
GISDATA.MBTABUSSTOPS_PT.4181,2610,Washington St @ Washington Terr,SOMERVILLE,274,POINT (-71.09287630355485 42.37948450597598)
GISDATA.MBTABUSSTOPS_PT.4624,2390,Pearl St @ Walnut St,SOMERVILLE,274,POINT (-71.09328165798254 42.38739304231184)
GISDATA.MBTABUSSTOPS_PT.4737,2660,Highland Ave @ Medford St,SOMERVILLE,274,POINT (-71.09280864157522 42.384610392723374)
GISDATA.MBTABUSSTOPS_PT.6897,2704,Broadway @ Thurston St,SOMERVILLE,274,POINT (-71.09587275532103 42.393839360163504)
GISDATA.MBTABUSSTOPS_PT.6738,2705,Broadway opp Temple St,SOMERVILLE,274,POINT (-71.09349448260654 42.39259805731509)
