,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
521,"[(-71.103194400000007, 42.317268399999996), (-71.098490800000008, 42.317268399999996), (-71.098490800000008, 42.319851139999997), (-71.103194400000007, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.15,0.37,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.06,0.0,0.0,0.0
522,"[(-71.098490800000008, 42.317268399999996), (-71.093787200000008, 42.317268399999996), (-71.093787200000008, 42.319851139999997), (-71.098490800000008, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
523,"[(-71.093787200000008, 42.317268399999996), (-71.089083600000009, 42.317268399999996), (-71.089083600000009, 42.319851139999997), (-71.093787200000008, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.27,0.0,0.0,0.0
524,"[(-71.089083600000009, 42.317268399999996), (-71.08438000000001, 42.317268399999996), (-71.08438000000001, 42.319851139999997), (-71.089083600000009, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.58,0.0,0.0,0.0
525,"[(-71.08438000000001, 42.317268399999996), (-71.079676399999997, 42.317268399999996), (-71.079676399999997, 42.319851139999997), (-71.08438000000001, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.42,0.0,0.01,0.1,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.13,0.0,0.0,0.0
526,"[(-71.079676399999997, 42.317268399999996), (-71.074972799999998, 42.317268399999996), (-71.074972799999998, 42.319851139999997), (-71.079676399999997, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.19,0.02,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.22,0.0,0.0,0.0
527,"[(-71.074972799999998, 42.317268399999996), (-71.070269199999998, 42.317268399999996), (-71.070269199999998, 42.319851139999997), (-71.074972799999998, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.17,0.0,0.0,0.0
528,"[(-71.070269199999998, 42.317268399999996), (-71.065565599999999, 42.317268399999996), (-71.065565599999999, 42.319851139999997), (-71.070269199999998, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.33,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.04,0.05,0.0,0.0,0.0
529,"[(-71.065565599999999, 42.317268399999996), (-71.060862, 42.317268399999996), (-71.060862, 42.319851139999997), (-71.065565599999999, 42.319851139999997)]",0.0,0.0,0.0,0.03,0.11,0.0,0.0,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
530,"[(-71.060862, 42.317268399999996), (-71.056158400000001, 42.317268399999996), (-71.056158400000001, 42.319851139999997), (-71.060862, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0
531,"[(-71.056158400000001, 42.317268399999996), (-71.051454800000002, 42.317268399999996), (-71.051454800000002, 42.319851139999997), (-71.056158400000001, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0
532,"[(-71.051454800000002, 42.317268399999996), (-71.046751200000003, 42.317268399999996), (-71.046751200000003, 42.319851139999997), (-71.051454800000002, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.0,0.0,0.0
533,"[(-71.046751200000003, 42.317268399999996), (-71.042047600000004, 42.317268399999996), (-71.042047600000004, 42.319851139999997), (-71.046751200000003, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.52,0.0,0.0,0.0
534,"[(-71.042047600000004, 42.317268399999996), (-71.037344000000004, 42.317268399999996), (-71.037344000000004, 42.319851139999997), (-71.042047600000004, 42.319851139999997)]",0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0
535,"[(-71.037344000000004, 42.317268399999996), (-71.032640400000005, 42.317268399999996), (-71.032640400000005, 42.319851139999997), (-71.037344000000004, 42.319851139999997)]",0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,"[(-71.032640400000005, 42.317268399999996), (-71.027936800000006, 42.317268399999996), (-71.027936800000006, 42.319851139999997), (-71.032640400000005, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,"[(-71.027936800000006, 42.317268399999996), (-71.023233200000007, 42.317268399999996), (-71.023233200000007, 42.319851139999997), (-71.027936800000006, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,"[(-71.023233200000007, 42.317268399999996), (-71.018529600000008, 42.317268399999996), (-71.018529600000008, 42.319851139999997), (-71.023233200000007, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,"[(-71.018529600000008, 42.317268399999996), (-71.013826000000009, 42.317268399999996), (-71.013826000000009, 42.319851139999997), (-71.018529600000008, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,"[(-71.013826000000009, 42.317268399999996), (-71.00912240000001, 42.317268399999996), (-71.00912240000001, 42.319851139999997), (-71.013826000000009, 42.319851139999997)]",0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
541,"[(-71.00912240000001, 42.317268399999996), (-71.004418799999996, 42.317268399999996), (-71.004418799999996, 42.319851139999997), (-71.00912240000001, 42.319851139999997)]",0.0,0.0,0.98,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.05,0.0,0.0,0.63,0.0,0.0,0.0
542,"[(-71.004418799999996, 42.317268399999996), (-70.999715199999997, 42.317268399999996), (-70.999715199999997, 42.319851139999997), (-71.004418799999996, 42.319851139999997)]",0.0,0.0,0.35,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,"[(-70.999715199999997, 42.317268399999996), (-70.995011599999998, 42.317268399999996), (-70.995011599999998, 42.319851139999997), (-70.999715199999997, 42.319851139999997)]",0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,"[(-70.995011599999998, 42.317268399999996), (-70.990307999999999, 42.317268399999996), (-70.990307999999999, 42.319851139999997), (-70.995011599999998, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,"[(-70.990307999999999, 42.317268399999996), (-70.9856044, 42.317268399999996), (-70.9856044, 42.319851139999997), (-70.990307999999999, 42.319851139999997)]",0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,"[(-70.9856044, 42.317268399999996), (-70.980900800000001, 42.317268399999996), (-70.980900800000001, 42.319851139999997), (-70.9856044, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,"[(-70.980900800000001, 42.317268399999996), (-70.976197200000001, 42.317268399999996), (-70.976197200000001, 42.319851139999997), (-70.980900800000001, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,"[(-70.976197200000001, 42.317268399999996), (-70.971493600000002, 42.317268399999996), (-70.971493600000002, 42.319851139999997), (-70.976197200000001, 42.319851139999997)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,"[(-70.971493600000002, 42.317268399999996), (-70.966790000000003, 42.317268399999996), (-70.966790000000003, 42.319851139999997), (-70.971493600000002, 42.319851139999997)]",0.0,0.0,0.55,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.01,0.0,0.0,0.01
550,"[(-71.201970000000003, 42.319851139999997), (-71.197266400000004, 42.319851139999997), (-71.197266400000004, 42.322433879999998), (-71.201970000000003, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,"[(-71.197266400000004, 42.319851139999997), (-71.192562800000005, 42.319851139999997), (-71.192562800000005, 42.322433879999998), (-71.197266400000004, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,"[(-71.192562800000005, 42.319851139999997), (-71.187859200000005, 42.319851139999997), (-71.187859200000005, 42.322433879999998), (-71.192562800000005, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
553,"[(-71.187859200000005, 42.319851139999997), (-71.183155600000006, 42.319851139999997), (-71.183155600000006, 42.322433879999998), (-71.187859200000005, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.01,0.0,0.09,0.0,0.0,0.0
554,"[(-71.183155600000006, 42.319851139999997), (-71.178452000000007, 42.319851139999997), (-71.178452000000007, 42.322433879999998), (-71.183155600000006, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.29,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,"[(-71.178452000000007, 42.319851139999997), (-71.173748400000008, 42.319851139999997), (-71.173748400000008, 42.322433879999998), (-71.178452000000007, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.85,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
556,"[(-71.173748400000008, 42.319851139999997), (-71.169044800000009, 42.319851139999997), (-71.169044800000009, 42.322433879999998), (-71.173748400000008, 42.322433879999998)]",0.0,0.0,0.0,0.06,0.49,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
557,"[(-71.169044800000009, 42.319851139999997), (-71.16434120000001, 42.319851139999997), (-71.16434120000001, 42.322433879999998), (-71.169044800000009, 42.322433879999998)]",0.0,0.0,0.0,0.61,0.3,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,"[(-71.16434120000001, 42.319851139999997), (-71.159637599999996, 42.319851139999997), (-71.159637599999996, 42.322433879999998), (-71.16434120000001, 42.322433879999998)]",0.0,0.0,0.0,0.03,0.04,0.0,0.14,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.0,0.0
559,"[(-71.159637599999996, 42.319851139999997), (-71.154933999999997, 42.319851139999997), (-71.154933999999997, 42.322433879999998), (-71.159637599999996, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.51,0.0,0.0,0.0
560,"[(-71.154933999999997, 42.319851139999997), (-71.150230399999998, 42.319851139999997), (-71.150230399999998, 42.322433879999998), (-71.154933999999997, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.04,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.0,0.0
561,"[(-71.150230399999998, 42.319851139999997), (-71.145526799999999, 42.319851139999997), (-71.145526799999999, 42.322433879999998), (-71.150230399999998, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.86,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,"[(-71.145526799999999, 42.319851139999997), (-71.1408232, 42.319851139999997), (-71.1408232, 42.322433879999998), (-71.145526799999999, 42.322433879999998)]",0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.7,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,"[(-71.1408232, 42.319851139999997), (-71.136119600000001, 42.319851139999997), (-71.136119600000001, 42.322433879999998), (-71.1408232, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,"[(-71.136119600000001, 42.319851139999997), (-71.131416000000002, 42.319851139999997), (-71.131416000000002, 42.322433879999998), (-71.136119600000001, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.36,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.2,0.0,0.0,0.01
565,"[(-71.131416000000002, 42.319851139999997), (-71.126712400000002, 42.319851139999997), (-71.126712400000002, 42.322433879999998), (-71.131416000000002, 42.322433879999998)]",0.03,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
566,"[(-71.126712400000002, 42.319851139999997), (-71.122008800000003, 42.319851139999997), (-71.122008800000003, 42.322433879999998), (-71.126712400000002, 42.322433879999998)]",0.08,0.0,0.0,0.0,0.0,0.0,0.21,0.4,0.0,0.29,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
567,"[(-71.122008800000003, 42.319851139999997), (-71.117305200000004, 42.319851139999997), (-71.117305200000004, 42.322433879999998), (-71.122008800000003, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.01,0.0,0.31,0.0
568,"[(-71.117305200000004, 42.319851139999997), (-71.112601600000005, 42.319851139999997), (-71.112601600000005, 42.322433879999998), (-71.117305200000004, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0
569,"[(-71.112601600000005, 42.319851139999997), (-71.107898000000006, 42.319851139999997), (-71.107898000000006, 42.322433879999998), (-71.112601600000005, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.16,0.0,0.01,0.1,0.03,0.0,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.0
570,"[(-71.107898000000006, 42.319851139999997), (-71.103194400000007, 42.319851139999997), (-71.103194400000007, 42.322433879999998), (-71.107898000000006, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.14,0.0,0.0,0.0
571,"[(-71.103194400000007, 42.319851139999997), (-71.098490800000008, 42.319851139999997), (-71.098490800000008, 42.322433879999998), (-71.103194400000007, 42.322433879999998)]",0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.03,0.18,0.0,0.0,0.0,0.0,0.13,0.0,0.02,0.04,0.06,0.09,0.0,0.0
572,"[(-71.098490800000008, 42.319851139999997), (-71.093787200000008, 42.319851139999997), (-71.093787200000008, 42.322433879999998), (-71.098490800000008, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.34,0.0,0.0,0.0
573,"[(-71.093787200000008, 42.319851139999997), (-71.089083600000009, 42.319851139999997), (-71.089083600000009, 42.322433879999998), (-71.093787200000008, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.01,0.17,0.09,0.0,0.16,0.0,0.0,0.0
574,"[(-71.089083600000009, 42.319851139999997), (-71.08438000000001, 42.319851139999997), (-71.08438000000001, 42.322433879999998), (-71.089083600000009, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.23,0.0,0.0,0.0
575,"[(-71.08438000000001, 42.319851139999997), (-71.079676399999997, 42.319851139999997), (-71.079676399999997, 42.322433879999998), (-71.08438000000001, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.24,0.0,0.0,0.0
576,"[(-71.079676399999997, 42.319851139999997), (-71.074972799999998, 42.319851139999997), (-71.074972799999998, 42.322433879999998), (-71.079676399999997, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0
577,"[(-71.074972799999998, 42.319851139999997), (-71.070269199999998, 42.319851139999997), (-71.070269199999998, 42.322433879999998), (-71.074972799999998, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.0,0.0,0.16,0.0,0.0,0.0
578,"[(-71.070269199999998, 42.319851139999997), (-71.065565599999999, 42.319851139999997), (-71.065565599999999, 42.322433879999998), (-71.070269199999998, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.11,0.0,0.01,0.06,0.26,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.02,0.0,0.0,0.0
579,"[(-71.065565599999999, 42.319851139999997), (-71.060862, 42.319851139999997), (-71.060862, 42.322433879999998), (-71.065565599999999, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.14,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
580,"[(-71.060862, 42.319851139999997), (-71.056158400000001, 42.319851139999997), (-71.056158400000001, 42.322433879999998), (-71.060862, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
581,"[(-71.056158400000001, 42.319851139999997), (-71.051454800000002, 42.319851139999997), (-71.051454800000002, 42.322433879999998), (-71.056158400000001, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.04,0.0,0.0,0.0
582,"[(-71.051454800000002, 42.319851139999997), (-71.046751200000003, 42.319851139999997), (-71.046751200000003, 42.322433879999998), (-71.051454800000002, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.14,0.0,0.0,0.0
583,"[(-71.046751200000003, 42.319851139999997), (-71.042047600000004, 42.319851139999997), (-71.042047600000004, 42.322433879999998), (-71.046751200000003, 42.322433879999998)]",0.0,0.0,0.1,0.0,0.16,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
584,"[(-71.042047600000004, 42.319851139999997), (-71.037344000000004, 42.319851139999997), (-71.037344000000004, 42.322433879999998), (-71.042047600000004, 42.322433879999998)]",0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,"[(-71.037344000000004, 42.319851139999997), (-71.032640400000005, 42.319851139999997), (-71.032640400000005, 42.322433879999998), (-71.037344000000004, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,"[(-71.032640400000005, 42.319851139999997), (-71.027936800000006, 42.319851139999997), (-71.027936800000006, 42.322433879999998), (-71.032640400000005, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,"[(-71.027936800000006, 42.319851139999997), (-71.023233200000007, 42.319851139999997), (-71.023233200000007, 42.322433879999998), (-71.027936800000006, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,"[(-71.023233200000007, 42.319851139999997), (-71.018529600000008, 42.319851139999997), (-71.018529600000008, 42.322433879999998), (-71.023233200000007, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,"[(-71.018529600000008, 42.319851139999997), (-71.013826000000009, 42.319851139999997), (-71.013826000000009, 42.322433879999998), (-71.018529600000008, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,"[(-71.013826000000009, 42.319851139999997), (-71.00912240000001, 42.319851139999997), (-71.00912240000001, 42.322433879999998), (-71.013826000000009, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,"[(-71.00912240000001, 42.319851139999997), (-71.004418799999996, 42.319851139999997), (-71.004418799999996, 42.322433879999998), (-71.00912240000001, 42.322433879999998)]",0.0,0.0,0.47,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
592,"[(-71.004418799999996, 42.319851139999997), (-70.999715199999997, 42.319851139999997), (-70.999715199999997, 42.322433879999998), (-71.004418799999996, 42.322433879999998)]",0.0,0.0,0.77,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.01,0.0,0.0,0.0,0.0,0.0,0.03
593,"[(-70.999715199999997, 42.319851139999997), (-70.995011599999998, 42.319851139999997), (-70.995011599999998, 42.322433879999998), (-70.999715199999997, 42.322433879999998)]",0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,"[(-70.995011599999998, 42.319851139999997), (-70.990307999999999, 42.319851139999997), (-70.990307999999999, 42.322433879999998), (-70.995011599999998, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,"[(-70.990307999999999, 42.319851139999997), (-70.9856044, 42.319851139999997), (-70.9856044, 42.322433879999998), (-70.990307999999999, 42.322433879999998)]",0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.04,0.0,0.0
596,"[(-70.9856044, 42.319851139999997), (-70.980900800000001, 42.319851139999997), (-70.980900800000001, 42.322433879999998), (-70.9856044, 42.322433879999998)]",0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,"[(-70.980900800000001, 42.319851139999997), (-70.976197200000001, 42.319851139999997), (-70.976197200000001, 42.322433879999998), (-70.980900800000001, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,"[(-70.976197200000001, 42.319851139999997), (-70.971493600000002, 42.319851139999997), (-70.971493600000002, 42.322433879999998), (-70.976197200000001, 42.322433879999998)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,"[(-70.971493600000002, 42.319851139999997), (-70.966790000000003, 42.319851139999997), (-70.966790000000003, 42.322433879999998), (-70.971493600000002, 42.322433879999998)]",0.0,0.0,0.41,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,"[(-71.201970000000003, 42.322433879999998), (-71.197266400000004, 42.322433879999998), (-71.197266400000004, 42.32501662), (-71.201970000000003, 42.32501662)]",0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.11,0.0,0.0,0.0
601,"[(-71.197266400000004, 42.322433879999998), (-71.192562800000005, 42.322433879999998), (-71.192562800000005, 42.32501662), (-71.197266400000004, 42.32501662)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.03,0.0,0.0,0.0
602,"[(-71.192562800000005, 42.322433879999998), (-71.187859200000005, 42.322433879999998), (-71.187859200000005, 42.32501662), (-71.192562800000005, 42.32501662)]",0.0,0.0,0.0,0.0,0.28,0.0,0.16,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
603,"[(-71.187859200000005, 42.322433879999998), (-71.183155600000006, 42.322433879999998), (-71.183155600000006, 42.32501662), (-71.187859200000005, 42.32501662)]",0.0,0.0,0.0,0.0,0.04,0.0,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.01
604,"[(-71.183155600000006, 42.322433879999998), (-71.178452000000007, 42.322433879999998), (-71.178452000000007, 42.32501662), (-71.183155600000006, 42.32501662)]",0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
