,Site,Cropland,Golf Course,Saltwater Sandy Beach,cemetary,commercial,crop_land,forest,high_density_residential,industrial,low_density_residential,marina,medium_density_residential,mining,open_land,recreational,transitional,transportation,urban_public/institutional,waste,water,wetland
19,"[(-71.112601600000005, 42.291440999999999), (-71.107898000000006, 42.291440999999999), (-71.107898000000006, 42.29402374), (-71.112601600000005, 42.29402374)]",0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
20,"[(-71.107898000000006, 42.291440999999999), (-71.103194400000007, 42.291440999999999), (-71.103194400000007, 42.29402374), (-71.107898000000006, 42.29402374)]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,0.0
21,"[(-71.103194400000007, 42.291440999999999), (-71.098490800000008, 42.291440999999999), (-71.098490800000008, 42.29402374), (-71.103194400000007, 42.29402374)]",0.0,0.0,0.0,0.35,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.37,0.0,0.0,0.0
22,"[(-71.098490800000008, 42.291440999999999), (-71.093787200000008, 42.291440999999999), (-71.093787200000008, 42.29402374), (-71.098490800000008, 42.29402374)]",0.0,0.0,0.0,0.06,0.0,0.12,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.11,0.0,0.0,0.01
23,"[(-71.093787200000008, 42.291440999999999), (-71.089083600000009, 42.291440999999999), (-71.089083600000009, 42.29402374), (-71.093787200000008, 42.29402374)]",0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24,0.0,0.2,0.0,0.0,0.0
24,"[(-71.089083600000009, 42.291440999999999), (-71.08438000000001, 42.291440999999999), (-71.08438000000001, 42.29402374), (-71.089083600000009, 42.29402374)]",0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.23,0.0,0.0,0.0
25,"[(-71.08438000000001, 42.291440999999999), (-71.079676399999997, 42.291440999999999), (-71.079676399999997, 42.29402374), (-71.08438000000001, 42.29402374)]",0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.17,0.0,0.0,0.0
26,"[(-71.079676399999997, 42.291440999999999), (-71.074972799999998, 42.291440999999999), (-71.074972799999998, 42.29402374), (-71.079676399999997, 42.29402374)]",0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.36,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.05,0.03,0.0,0.0,0.0
27,"[(-71.074972799999998, 42.291440999999999), (-71.070269199999998, 42.291440999999999), (-71.070269199999998, 42.29402374), (-71.074972799999998, 42.29402374)]",0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.22,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0
28,"[(-71.070269199999998, 42.291440999999999), (-71.065565599999999, 42.291440999999999), (-71.065565599999999, 42.29402374), (-71.070269199999998, 42.29402374)]",0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.41,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
