,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
4,41,5,102,88111,1,45.28845,-121.782775,WGS84,Calcium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0102,0.01469,0.083,2016-04-06 00:00,0.044000000000000004,2016-04-18 00:00,0.035,2016-04-21 00:00,0.03,2016-04-09 00:00,,,,,0.083,0.083,0.035,0.021,0.012,0.005,0.001,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
5,41,5,102,88112,1,45.28845,-121.782775,WGS84,Chromium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
6,41,5,102,88114,1,45.28845,-121.782775,WGS84,Copper PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,2.2e-05,0.000149,0.001,2016-05-12 00:00,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,,,,,0.001,0.001,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
7,41,5,102,88115,1,45.28845,-121.782775,WGS84,Chlorine PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.039311,0.086785,0.401,2016-03-10 00:00,0.348,2016-03-01 00:00,0.21899999999999997,2016-02-06 00:00,0.136,2016-01-16 00:00,,,,,0.401,0.401,0.21899999999999997,0.12300000000000001,0.036000000000000004,0.001,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
8,41,5,102,88126,1,45.28845,-121.782775,WGS84,Iron PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.011956,0.018144999999999998,0.09,2016-04-06 00:00,0.063,2016-04-18 00:00,0.042,2016-04-21 00:00,0.039,2016-04-09 00:00,,,,,0.09,0.09,0.042,0.034,0.018000000000000002,0.005,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
9,41,5,102,88128,1,45.28845,-121.782775,WGS84,Lead PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.00028900000000000003,0.000458,0.001,2016-01-13 00:00,0.001,2016-02-15 00:00,0.001,2016-03-01 00:00,0.001,2016-04-12 00:00,,,,,0.001,0.001,0.001,0.001,0.001,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
10,41,5,102,88132,1,45.28845,-121.782775,WGS84,Manganese PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0002,0.000405,0.001,2016-03-31 00:00,0.001,2016-04-03 00:00,0.001,2016-04-06 00:00,0.001,2016-04-09 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
11,41,5,102,88136,1,45.28845,-121.782775,WGS84,Nickel PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
12,41,5,102,88140,1,45.28845,-121.782775,WGS84,Magnesium PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.010178,0.010724,0.047,2016-03-10 00:00,0.040999999999999995,2016-03-01 00:00,0.032,2016-05-09 00:00,0.024,2016-02-06 00:00,,,,,0.047,0.047,0.032,0.024,0.013999999999999999,0.006,0.002,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
13,41,5,102,88152,1,45.28845,-121.782775,WGS84,Phosphorus PM2.5 LC,24 HOUR,,Observed Values,"IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm. - X-Ray Fluorescence",2016,Micrograms/cubic meter (LC),No Events,45,37,N,45,122,0,6,,,Certification not required,0,0.0,0.0,0.0,2016-01-01 00:00,0.0,2016-01-04 00:00,0.0,2016-01-07 00:00,0.0,2016-01-13 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MULTORPOR-Ski Bowl, Mt. Hood Wilderness","MULTORPOR, BOX 87, GOVT CAMP, OR 97028",Oregon,Clackamas,,"Portland-Vancouver-Hillsboro, OR-WA",2017-04-25,[  45.28845  -121.782775],{'Evergreen forest land': 1.0}
