,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
9,33,7,11,42401,3,44.478114,-71.174521,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,1980,Parts per billion,No Events,882,10,N,36,366,0,0,,,Certification not required,0,12.543084,19.004655,185.0,1980-12-29 13:00,144.0,1980-12-23 13:00,144.0,1980-12-29 10:00,133.0,1980-12-23 14:00,,,,,105.0,71.0,47.0,29.0,13.0,7.0,2.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
10,33,7,11,42401,3,44.478114,-71.174521,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,36,10,N,36,366,0,0,0.0,,Certification not required,0,12.519444,12.945772999999999,57.9,1980-12-29 00:00,46.0,1980-12-23 00:00,31.2,1980-07-29 00:00,28.9,1980-12-26 00:00,,,,,57.9,57.9,46.0,28.9,15.8,8.5,2.1,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
11,33,7,11,42401,3,44.478114,-71.174521,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,288,10,N,36,366,0,0,,0.0,Certification not required,0,12.6,17.87666,123.0,1980-12-29 11:00,121.0,1980-12-29 14:00,112.3,1980-12-23 14:00,88.0,1980-12-23 11:00,,,,,112.3,69.3,51.6,29.0,14.3,7.0,2.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
12,33,7,14,11101,1,44.471169,-71.166188,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,46,75,Y,42,61,0,0,,,Certification not required,0,136.978261,72.453967,376.0,1980-05-27 00:00,322.0,1980-05-21 00:00,298.0,1980-06-26 00:00,270.0,1980-07-14 00:00,,,,,376.0,376.0,298.0,232.0,161.0,124.0,53.0,,LANCASTER STREET TRAILER,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.471169 -71.166188],"{'Residential': 0.81, 'Industrial': 0.16, 'Deciduous forest land': 0.03}"
13,33,7,14,42401,1,44.471169,-71.166188,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,7926,90,N,326,366,0,0,188.0,,Certification not required,0,115.076687,97.410678,431.0,1980-03-16 08:00,417.0,1980-02-14 21:00,417.0,1980-03-14 18:00,407.0,1980-02-21 10:00,,,,,407.0,389.0,330.0,258.0,160.0,85.0,23.0,,LANCASTER STREET TRAILER,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.471169 -71.166188],"{'Residential': 0.81, 'Industrial': 0.16, 'Deciduous forest land': 0.03}"
14,33,7,14,42401,1,44.471169,-71.166188,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,1980,Parts per billion,No Events,7926,90,Y,326,366,0,0,,,Certification not required,0,34.381151,56.774975,431.0,1980-03-16 08:00,417.0,1980-02-14 21:00,417.0,1980-03-14 18:00,407.0,1980-02-21 10:00,,,,,292.0,244.0,158.0,94.0,33.0,14.0,2.0,,LANCASTER STREET TRAILER,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.471169 -71.166188],"{'Residential': 0.81, 'Industrial': 0.16, 'Deciduous forest land': 0.03}"
15,33,7,14,42401,1,44.471169,-71.166188,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,Multiple Methods Used,1980,Parts per billion,No Events,326,89,Y,326,366,0,0,10.0,,Certification not required,0,33.869632,37.209682,256.4,1980-03-15 00:00,254.4,1980-01-20 00:00,157.0,1980-03-16 00:00,153.5,1980-01-21 00:00,,,,,153.5,146.8,111.8,73.9,44.0,20.7,5.7,,LANCASTER STREET TRAILER,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.471169 -71.166188],"{'Residential': 0.81, 'Industrial': 0.16, 'Deciduous forest land': 0.03}"
16,33,7,14,42401,1,44.471169,-71.166188,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,Multiple Methods Used,1980,Parts per billion,No Events,2539,87,Y,322,366,0,0,,0.0,Certification not required,0,34.325286,51.86187,386.3,1980-03-16 08:00,378.3,1980-02-14 23:00,378.3,1980-03-15 02:00,356.0,1980-03-16 11:00,,,,,268.3,212.0,145.6,91.6,36.6,15.0,3.0,,LANCASTER STREET TRAILER,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.471169 -71.166188],"{'Residential': 0.81, 'Industrial': 0.16, 'Deciduous forest land': 0.03}"
17,33,7,15,42101,1,44.470335999999996,-71.180077,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,648,7,N,25,366,0,0,0.0,0.0,Certification not required,0,3.2523150000000003,3.10053,19.6,1980-01-15 07:00,14.6,1980-01-04 16:00,14.6,1980-01-18 16:00,13.5,1980-01-02 10:00,,,,,12.5,11.5,9.5,7.5,5.5,2.5,0.4,,177 MAIN ST. BERLIN NH,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2016-04-19,[ 44.470336 -71.180077],"{'Commercial and Services': 0.33, 'Residential': 0.32, 'Streams and canals': 0.23, 'Industrial': 0.12}"
18,33,7,15,42101,1,44.470335999999996,-71.180077,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,638,7,Y,25,366,0,0,3.0,3.0,Certification not required,0,3.185423,2.266726,9.8,1980-01-23 16:00,9.8,1980-01-23 17:00,9.6,1980-01-23 18:00,9.3,1980-01-23 15:00,9.8,1980-01-23 16:00,9.2,1980-01-09 16:00,8.9,8.6,7.4,6.6,4.8,2.6,0.7,,177 MAIN ST. BERLIN NH,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2016-04-19,[ 44.470336 -71.180077],"{'Commercial and Services': 0.33, 'Residential': 0.32, 'Streams and canals': 0.23, 'Industrial': 0.12}"
19,33,7,16,11101,1,44.46367,-71.167299,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,12,61,0,0,,,Certification not required,0,34.333333,19.268158,85.0,1980-11-21 00:00,81.0,1980-12-28 00:00,79.0,1980-11-22 00:00,77.0,1980-12-23 00:00,,,,,85.0,81.0,79.0,66.0,43.0,31.0,13.0,,200 ENMAN HILL ROAD,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.46367  -71.167299],{'Deciduous forest land': 1.0}
20,33,7,17,11101,1,44.474225,-71.152299,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,12,61,0,0,,,Certification not required,0,23.090909,18.923176,72.0,1980-12-23 00:00,63.0,1980-12-29 00:00,47.0,1980-11-23 00:00,44.0,1980-12-08 00:00,,,,,72.0,72.0,63.0,47.0,29.0,18.0,4.0,,EASTHILL,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.474225 -71.152299],"{'Deciduous forest land': 0.91, 'Evergreen forest land': 0.09}"
21,33,7,19,11101,1,44.488669,-71.179799,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,12,61,0,0,,,Certification not required,0,19.47619,16.758935,71.0,1980-12-23 00:00,41.0,1980-12-08 00:00,39.0,1980-12-02 00:00,39.0,1980-12-29 00:00,,,,,71.0,71.0,41.0,39.0,25.0,13.0,5.0,,CATES HILL RD,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.488669 -71.179799],"{'Residential': 0.27, 'Deciduous forest land': 0.73}"
