,Routes,Speed at 19-06-17 21,Travel Time at 19-06-17 21,Speed at 19-06-17  22,Travel Time at 19-06-17  22,Speed at 19-06-17  23,Travel Time at 19-06-17  23
147,3301 - R-114 - 93NB-TTR-10.6 to 3355 - R-115 - 93NB-TTR-11.3,Greater than 50 mph,0 min 56 sec,Greater than 50 mph,0 min 56 sec,Greater than 50 mph,0 min 56 sec
148,3301 - R-114 - 93NB-TTR-10.6 to 3265 - G-129 - 93SB-TTS-8.4,Less than 30 mph,9 min 53 sec,Less than 30 mph,9 min 53 sec,Less than 30 mph,9 min 53 sec
149,3297 - R-21 - 90EB-TTR-116.6 to 3322 - G-23 - 90WB-TTS-112.2,Between 30 and 40 mph,9 min 9 sec,Between 30 and 40 mph,9 min 9 sec,Between 30 and 40 mph,9 min 9 sec
150,3297 - R-21 - 90EB-TTR-116.6 to 3282 - G-109 - 90EB-TTS-119.8,Greater than 50 mph,3 min 11 sec,Greater than 50 mph,3 min 11 sec,Greater than 50 mph,3 min 11 sec
151,3291 - G-20 - 90EB-TTS-88.6 to 3366 - G-25 - 90WB-TTS-85.8,Less than 30 mph,11 min 46 sec,Less than 30 mph,11 min 46 sec,Less than 30 mph,11 min 46 sec
152,3291 - G-20 - 90EB-TTS-88.6 to 3038 - R-23 - 90WB-TTR-90.3,Greater than 50 mph,1 min 27 sec,Greater than 50 mph,1 min 27 sec,Greater than 50 mph,1 min 27 sec
153,3288 - G-89 - 3NB-TTS-19.2 to 3264 - G-85 - 3SB-TTS-20.6,Greater than 50 mph,1 min 14 sec,Greater than 50 mph,1 min 14 sec,Greater than 50 mph,1 min 14 sec
154,3288 - G-89 - 3NB-TTS-19.2 to 3106 - R-79 - 3SB-TTR-16,Greater than 50 mph,4 min 12 sec,Greater than 50 mph,4 min 12 sec,Greater than 50 mph,4 min 12 sec
155,3286 - G-86 - 3SB-TTS-11.9 to 3247 - G-87 - 3SB-TTS-6.8,Greater than 50 mph,4 min 27 sec,Greater than 50 mph,4 min 27 sec,Greater than 50 mph,4 min 27 sec
156,3285 - G-112 - 90WB-TTS-127.7 to 3365 - G-110 - 90EB-TTS-126.8,Between 30 and 40 mph,2 min 5 sec,Between 30 and 40 mph,2 min 5 sec,Between 30 and 40 mph,2 min 5 sec
157,3285 - G-112 - 90WB-TTS-127.7 to 3006 - R-98 - 90EB-TTR-130.7,Greater than 50 mph,2 min 58 sec,Greater than 50 mph,2 min 58 sec,Greater than 50 mph,2 min 58 sec
158,3283 - G-124 - 3NB-TTS-36.8 to 3267 - G-82 - 3SB-TTS-37.8,Greater than 50 mph,1 min 8 sec,Greater than 50 mph,1 min 8 sec,Greater than 50 mph,1 min 8 sec
159,3283 - G-124 - 3NB-TTS-36.8 to 3080 - R-78 - 3NB-TTR-36.1,Greater than 50 mph,0 min 42 sec,Greater than 50 mph,0 min 42 sec,Greater than 50 mph,0 min 42 sec
