,		State Code,County Code,Tribal Code,Site ID,Support Agency Code,Location Address,City Code,Postal Code,Local ID,Local Name,Urban Area Code,AQCR Code,Land Use ID,Location Setting ID,Site Established Date,Latitude,Longitude,Horizontal Method Code,Horizontal Datum ID,Parameter Code,Parameter Name,Substance Occurrence Code,Duration Code,Method ID,Measure Unit Code,Sample Collection Start Date,Sample Collection Start Time,Measure Value,Measure Unit,Null Data Code,Qualifier Code,Data Validity Code
15,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 01:00:00,25.0,0.00013000000000000002,ppm,,,RAW
16,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 02:00:00,26.0,0.0001,ppm,,,RAW
17,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 03:00:00,27.0,0.00014,ppm,,,RAW
18,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 04:00:00,28.0,0.00013000000000000002,ppm,,,RAW
19,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 05:00:00,29.0,0.00013000000000000002,ppm,,,RAW
20,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 06:00:00,30.0,0.00016999999999999999,ppm,,,RAW
21,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 07:00:00,31.0,0.0003,ppm,,,RAW
22,				MA,'025,,'250250002,'0660,KENMORE SQ,7000,'02215,Boston Kenmore Sq,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1965-01-01,42.348873,-71.097163,'027,WGS84,42401,Sulfur Dioxide,1,1,'100 ,'007,2017-06-20 08:00:00,32.0,0.0003,ppm,,,RAW
23,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42401,Sulfur Dioxide,1,1,'600 ,'007,2017-06-19 10:00:00,34.0,0.00062,ppm,,,RAW
24,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,42401,Sulfur Dioxide,1,1,'600 ,'007,2017-06-19 11:00:00,35.0,0.00065,ppm,,,RAW
