,		State Code,County Code,Tribal Code,Site ID,Support Agency Code,Location Address,City Code,Postal Code,Local ID,Local Name,Urban Area Code,AQCR Code,Land Use ID,Location Setting ID,Site Established Date,Latitude,Longitude,Horizontal Method Code,Horizontal Datum ID,Parameter Code,Parameter Name,Substance Occurrence Code,Duration Code,Method ID,Measure Unit Code,Sample Collection Start Date,Sample Collection Start Time,Measure Value,Measure Unit,Null Data Code,Qualifier Code,Data Validity Code
1,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 09:00:00,321.0,18,ug/m3 LC,,,RAW
2,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 10:00:00,322.0,16,ug/m3 LC,,,RAW
3,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 11:00:00,323.0,17,ug/m3 LC,,,RAW
4,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 12:00:00,324.0,12,ug/m3 LC,,,RAW
5,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 13:00:00,325.0,12,ug/m3 LC,,,RAW
6,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 14:00:00,326.0,16,ug/m3 LC,,,RAW
7,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 15:00:00,327.0,12,ug/m3 LC,,,RAW
8,				MA,'025,,'250250043,'0660,150 NORTH ST,7000,'02109,Boston North End,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1999-04-09,42.3631,-71.0542,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-23 16:00:00,328.0,9,ug/m3 LC,,,RAW
9,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-22 16:00:00,328.0,4,ug/m3 LC,,,RAW
10,				MA,'025,,'250250042,'0660,HARRISON AV,7000,'02119,Boston Roxbury,BOSTON,1120,'119,COMMERCIAL,URBAN AND CENTER CITY,1998-12-15,42.3294,-71.0825,'015,WGS84,88502,Acceptable PM2.5 Aqi and Speciation Mass,3,1,'731 ,'105,2017-06-22 21:00:00,333.0,5,ug/m3 LC,,,RAW
