,Parameter Name,Site_keys,LU,ppm
39,Suspended particulate (TSP),[ 33.533716 -86.850824],"{'Commercial and Services': 0.46, 'Residential': 0.37, 'Transportation, communications and services': 0.08, 'Mixed forest land': 0.09}",121.41724099999999
40,Suspended particulate (TSP),[ 33.553056 -86.815   ],"{'Commercial and Services': 0.86, 'Residential': 0.1, 'Industrial': 0.04}",109.46808500000002
41,Suspended particulate (TSP),[ 33.565104 -86.77999 ],"{'Commercial and Services': 0.07, 'Residential': 0.93}",83.310811
42,Suspended particulate (TSP),[ 33.485556 -86.915   ],"{'Commercial and Services': 0.038461538461538464, 'Residential': 0.8461538461538461, 'Transportation, communications and services': 0.11538461538461539}",60.972972999999996
43,Suspended particulate (TSP),[ 33.602325 -86.690545],"{'Residential': 0.9345794392523364, 'Other urban or built-up land': 0.06542056074766354}",77.433962
44,Suspended particulate (TSP),[ 33.443165 -86.993327],"{'Commercial and Services': 0.29577464788732394, 'Residential': 0.704225352112676}",52.933333
45,Suspended particulate (TSP),[ 33.544271 -86.541651],"{'Commercial and Services': 0.411214953271028, 'Residential': 0.5607476635514018, 'Mixed forest land': 0.028037383177570093}",79.472727
46,Suspended particulate (TSP),[ 33.578333 -86.773889],"{'Residential': 0.8363636363636363, 'Other urban or built-up land': 0.09090909090909091, 'Mixed forest land': 0.07272727272727272}",54.95081999999999
47,Suspended particulate (TSP),[ 33.437052 -86.899714],"{'Residential': 0.54, 'Industrial': 0.25, 'Mixed forest land': 0.21}",60.512820999999995
48,Suspended particulate (TSP),[ 33.467884 -86.740544],{'Residential': 1.0},74.401786
49,Suspended particulate (TSP),[ 34.794255 -87.682807],"{'Commercial and Services': 0.1452991452991453, 'Residential': 0.7008547008547008, 'Other urban or built-up land': 0.08547008547008547, 'Deciduous forest land': 0.06837606837606838}",61.135135
50,Suspended particulate (TSP),[ 34.792866 -87.679196],"{'Commercial and Services': 0.06542056074766354, 'Residential': 0.42990654205607476, 'Other urban or built-up land': 0.45794392523364486, 'Deciduous forest land': 0.037383177570093455, 'Reservoirs': 0.009345794392523364}",58.37931
51,Suspended particulate (TSP),[ 34.786755 -87.782531],{'Cropland and pasture': 1.0},56.278689
52,Suspended particulate (TSP),[ 34.793422 -87.8492  ],"{'Cropland and pasture': 0.9090909090909091, 'Mixed forest land': 0.09090909090909091}",41.068965999999996
53,Suspended particulate (TSP),[ 34.808143 -87.62975 ],"{'Other urban or built-up land': 0.64, 'Reservoirs': 0.26, 'Transportation, communications and services': 0.1}",60.070175
54,Suspended particulate (TSP),[ 34.479262 -87.291687],"{'Commercial and Services': 0.13829787234042554, 'Mixed urban or built-up land': 0.07446808510638298, 'Cropland and pasture': 0.5319148936170213, 'Residential': 0.2553191489361702}",39.637931
55,Suspended particulate (TSP),[ 32.643467 -85.403003],"{'Commercial and Services': 0.21, 'Residential': 0.36, 'Evergreen forest land': 0.39, 'Mixed forest land': 0.04}",55.393443000000005
56,Suspended particulate (TSP),[ 34.828977 -86.975285],"{'Cropland and pasture': 0.78125, 'Mixed forest land': 0.21875}",50.172414
57,Suspended particulate (TSP),[ 34.803421 -86.965007],"{'Commercial and Services': 0.145, 'Residential': 0.225, 'Other urban or built-up land': 0.13, 'Cropland and pasture': 0.5}",62.26
58,Suspended particulate (TSP),[ 34.685923 -87.070845],"{'Reservoirs': 0.76, 'Evergreen forest land': 0.24}",72.145455
59,Suspended particulate (TSP),[ 34.788423 -86.616105],"{'Residential': 0.47, 'Cropland and pasture': 0.51, 'Transitional areas': 0.02}",52.525424
60,Suspended particulate (TSP),[ 34.728831 -86.585003],"{'Commercial and Services': 0.79, 'Residential': 0.21}",54.4
61,Suspended particulate (TSP),[ 34.620369 -86.566381],"{'Residential': 0.33, 'Other urban or built-up land': 0.12, 'Cropland and pasture': 0.31, 'Mixed urban or built-up land': 0.24}",43.032787
62,Suspended particulate (TSP),[ 34.645925 -86.771667],"{'Cropland and pasture': 0.5076142131979695, 'Transportation, communications and services': 0.49238578680203043}",56.050847
63,Suspended particulate (TSP),[ 34.778423 -86.582493],"{'Residential': 0.48, 'Cropland and pasture': 0.52}",48.59322
64,Suspended particulate (TSP),[ 34.704258 -86.606937],"{'Commercial and Services': 0.11, 'Residential': 0.42, 'Industrial': 0.29, 'Other urban or built-up land': 0.18}",61.930041
