,Parameter Name,Site_keys,LU,ppm
38,Suspended particulate (TSP),[ 42.047807 -87.798119],"{'Commercial and Services': 0.51, 'Residential': 0.49}",67.67272700000001
39,Suspended particulate (TSP),[ 42.042529 -87.838397],"{'Commercial and Services': 0.6592592592592592, 'Residential': 0.32592592592592595, 'Other urban or built-up land': 0.014814814814814815}",66.98214300000001
40,Suspended particulate (TSP),[ 42.060029 -87.752561],"{'Commercial and Services': 0.19, 'Residential': 0.37, 'Industrial': 0.39, 'Transportation, communications and services': 0.05}",73.461538
41,Suspended particulate (TSP),[ 42.078085 -87.702838],"{'Commercial and Services': 0.46, 'Residential': 0.54}",72.893617
42,Suspended particulate (TSP),[ 42.101417 -87.748673],"{'Commercial and Services': 0.63, 'Residential': 0.31, 'Other urban or built-up land': 0.06}",57.921347999999995
43,Suspended particulate (TSP),[ 42.02114  -87.907566],"{'Commercial and Services': 0.02, 'Residential': 0.29, 'Industrial': 0.69}",104.868132
44,Suspended particulate (TSP),[ 42.044474 -87.685892],"{'Commercial and Services': 0.62, 'Residential': 0.38}",59.4
45,Suspended particulate (TSP),[ 42.095026 -88.105908],{'Residential': 1.0},62.052631999999996
46,Suspended particulate (TSP),[ 39.168929 -87.644193],"{'Mixed urban or built-up land': 0.01, 'Streams and canals': 0.01, 'Cropland and pasture': 0.98}",59.196429
47,Suspended particulate (TSP),[ 39.019209 -87.697804],{'Cropland and pasture': 1.0},61.35555600000001
48,Suspended particulate (TSP),[ 41.965862 -88.785089],{'Cropland and pasture': 1.0},103.62
49,Suspended particulate (TSP),[ 41.932529 -87.994511],"{'Commercial and Services': 0.68, 'Residential': 0.32}",69.07547199999999
50,Suspended particulate (TSP),[ 41.95753  -87.938955],"{'Commercial and Services': 0.35, 'Residential': 0.56, 'Industrial': 0.09}",68.528302
51,Suspended particulate (TSP),[ 41.751975 -87.98395 ],"{'Commercial and Services': 0.07, 'Residential': 0.6, 'Other urban or built-up land': 0.18, 'Transitional areas': 0.15}",72.05405400000001
52,Suspended particulate (TSP),[ 41.901419 -87.938953],"{'Commercial and Services': 0.3548387096774194, 'Residential': 0.6451612903225806}",75.175439
53,Suspended particulate (TSP),[ 41.886139 -88.204516],"{'Commercial and Services': 0.6310679611650486, 'Residential': 0.36893203883495146}",90.80357099999999
54,Suspended particulate (TSP),[ 41.863918 -88.104235],"{'Commercial and Services': 0.63, 'Residential': 0.37}",69.210526
55,Suspended particulate (TSP),[ 41.77253  -88.150623],"{'Commercial and Services': 0.79, 'Residential': 0.19, 'Deciduous forest land': 0.02}",72.773585
56,Suspended particulate (TSP),[ 39.116153 -88.540049],"{'Commercial and Services': 0.075, 'Residential': 0.425, 'Cropland and pasture': 0.5}",61.510204
57,Suspended particulate (TSP),[ 37.727273 -89.218139],"{'Commercial and Services': 0.205, 'Residential': 0.29, 'Industrial': 0.005, 'Cropland and pasture': 0.5}",89.962264
