latitude,longitude,temp_f,temp_c,relative_humidity,wind_degrees,wind_mph,wind_gust_mph,wind_kph,wind_gust_kph,pressure_mb,pressure_in,dewpoint_f,dewpoint_c,heat_index_f,heat_index_c,windchill_f,windchill_c,feelslike_f,feelslike_c,visibility_mi,visibility_km,UV,precip_1hr_in,precip_1hr_metric,precip_today_in
42.348248,-71.084167,74.7875,23.7761904762,71.4404761905,230.136904762,5.29107142857,6.92619047619,8.49702380952,11.1428571429,1013.37125749,29.9274251497,63.8279761905,17.6196428571,81.6031746032,27.3650793651,nan,nan,75.7089285714,24.2541666667,9.49700598802,15.2892215569,1.05952380952,0.00458333333333,0.0130952380952,0.0626347305389
42.3955,-71.181602,69.9833333333,21.1035714286,73.0,253.94047619,0.703571428571,1.3994047619,1.08988095238,2.24761904762,1014.26785714,29.9526785714,59.7125,15.3886904762,85.3571428571,29.6785714286,nan,nan,70.4220238095,21.3910714286,9.54166666667,15.3607142857,1.7380952381,0.00708333333333,0.179761904762,0.0747619047619
42.3633,-71.107529,71.5988095238,22.0005952381,74.4642857143,-1626.67857143,2.29166666667,6.08928571429,3.67619047619,9.79345238095,1013.375,29.9276190476,61.9047619048,16.6488095238,84.7105263158,29.2368421053,nan,nan,71.9505952381,22.2291666667,9.5,15.294047619,1.65714285714,0.00589285714286,0.154761904762,0.0717261904762
42.332382,-71.138641,70.6071428571,21.4505952381,77.2916666667,204.154761905,0.464285714286,2.59523809524,0.744047619048,4.16011904762,1013.37559524,29.9275595238,61.5773809524,16.4196428571,87.3333333333,30.6923076923,nan,nan,71.0238095238,21.7077380952,9.5,15.293452381,1.83333333333,0.0,0.0,0.0
42.313976,-71.062218,72.1916666667,22.3279761905,67.75,193.511904762,2.53571428571,0.0,4.06488095238,0.0,1013.3375,29.9264285714,59.4047619048,15.2208333333,88.2702702703,31.1621621622,nan,nan,72.5672619048,22.5791666667,9.5,15.293452381,1.83333333333,0.00672619047619,0.184523809524,0.0691666666667
42.435493,-71.038391,71.2428571429,21.8,58.2321428571,225.80952381,1.37083333333,2.38035714286,2.15357142857,3.82678571429,1013.38392857,29.9279166667,50.1738095238,10.1017857143,81.9473684211,27.6315789474,nan,nan,70.9642857143,21.6107142857,9.5,15.293452381,1.19642857143,0.00672619047619,0.178571428571,0.0910119047619
42.415516,-71.111511,70.4636904762,21.3696428571,82.9702380952,178.660714286,3.02380952381,7.56547619048,4.85119047619,12.1636904762,1013.36964286,29.9275,64.4523809524,18.0297619048,85.7941176471,29.8235294118,nan,nan,71.1702380952,21.7892857143,9.5,15.293452381,1.83333333333,0.00440476190476,0.107142857143,0.0625595238095
42.331001,-71.224998,69.468452381,20.8160714286,82.2976190476,151.535714286,0.202380952381,1.83333333333,0.32380952381,2.93630952381,1013.20892857,29.9231547619,63.0595238095,17.2857142857,84.8387096774,29.4193548387,nan,nan,69.9476190476,21.1333333333,8.90416666667,14.3363095238,1.95238095238,0.00404761904762,0.107142857143,0.0710714285714
